"phylum","class","order","family","genus","species","country","adm1","lon","lat"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","Benin","Atacora","1.6666","9.0166"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","Tanzania",NA,"35.8","-4.97"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","Nigeria",NA,"12.116667","10.533333"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","Malawi","Central Region","34.633333","-13.716667"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","Mali","Kati","-7.76667","12.58333"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","Mali","Sikasso","-5.66667","11.31667"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","Namibia",NA,"12.875","-19.375"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","Mozambique","Maputo","32.566667","-25.95"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","Botswana","South-East","25.95","-24.56667"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","Mozambique","Maputo","32.366667","-26.05"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","South Africa",NA,"28.6462","-25.4634"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","South Africa",NA,"25.875","-27.125"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","South Africa",NA,"28.375","-25.625"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","Ethiopia","Harerge","42.416667","9.166667"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","South Africa",NA,"28.875","-26.375"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","South Africa",NA,"27.875","-24.875"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","South Africa",NA,"28.875","-26.375"
"Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Alectra","Alectra vogelii","South Africa",NA,"30.125","-23.875"
