"phylum","class","order","family","genus","species","country","adm1","lon","lat"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Italy","Campania","14.566142","40.905514"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Gelderland","5.7","51.95"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Portugal","Aveiro","-8.47543","40.302991"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Portugal","Faro","-8.608328","37.144397"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Greece","Crete","25.144213","35.338735"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","France","Languedoc-Roussillon","3.867291","43.635638"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Italy","Lombardia","9.204845","45.652091"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Italy","Toscana","11.226403","43.736741"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Flevoland","5.8","52.75"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Italy","Lazio","12.54232","42.081472"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Spain",NA,"-2.429863","36.819903"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Portugal","Santarém","-8.409566","39.605548"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Croatia","Zadarska","15.541413","44.185735"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Zuid-Holland","4.3","52"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Zeeland","3.95","51.6"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","France","Provence-Alpes-Côte d'Azur","5.960597","43.596683"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Spain","Andalucía","-2.70453","36.692055"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","France","Provence-Alpes-Côte d'Azur","7.316587","43.707855"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Cyprus","Limassol","32.732079","34.655568"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Sweden","Uppland","18.91253","59.94672"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Noord-Brabant","4.85","51.7"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Noord-Brabant","5.25","51.55"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Limburg","6.15","51.45"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Zeeland","3.95","51.2"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Gelderland","5.9","51.9"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Limburg","5.65","50.8"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Overijssel","6","52.5"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","France","Languedoc-Roussillon","4.135878","43.626742"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Italy","Trentino-Alto Adige","11.155895","46.677005"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","France","Aquitaine","-0.36589","43.299901"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Italy","Piemonte","7.627432","45.058784"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Greece","Macedonia and Thrace","22.949303","40.665424"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Greece",NA,"24.703703","40.97562"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Overijssel","5.95","52.75"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Noord-Holland","4.75","52.45"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Noord-Holland","4.75","52.9"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Zuid-Holland","4.25","51.65"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Limburg","6.15","51.4"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Noord-Holland","4.7","52.65"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Limburg","5.8","51.25"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Zeeland","4.05","51.5"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Noord-Brabant","5.05","51.5"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Noord-Holland","4.6","52.25"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Zuid-Holland","4.4","52"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Noord-Brabant","4.5","51.55"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Zuid-Holland","4.25","51.95"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Flevoland","5.45","52.45"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Noord-Holland","5.15","52.65"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Zuid-Holland","4.35","52.1"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Drenthe","6.7","52.65"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Limburg","5.9","51.5"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Zuid-Holland","4.55","51.8"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Noord-Brabant","5.5","51.75"
"Arthropoda","Insecta","Lepidoptera","Noctuidae","Chrysodeixis","Chrysodeixis chalcites","Netherlands","Zuid-Holland","4.5","51.7"
