"lon","lat"
14.566142,40.905514
5.7,51.95
-8.47543,40.302991
-8.608328,37.144397
25.144213,35.338735
3.867291,43.635638
9.204845,45.652091
11.226403,43.736741
5.8,52.75
12.54232,42.081472
-2.429863,36.819903
-8.409566,39.605548
4.3,52
5.960597,43.596683
-2.70453,36.692055
7.316587,43.707855
32.732079,34.655568
18.91253,59.94672
5.25,51.55
6.15,51.45
3.95,51.2
5.9,51.9
5.65,50.8
6,52.5
4.135878,43.626742
11.155895,46.677005
-0.36589,43.299901
7.627432,45.058784
22.949303,40.665424
5.95,52.75
4.75,52.45
4.75,52.9
4.25,51.65
6.15,51.4
4.7,52.65
5.8,51.25
4.05,51.5
5.05,51.5
4.6,52.25
4.4,52
4.5,51.55
4.25,51.95
5.45,52.45
5.15,52.65
4.35,52.1
6.7,52.65
5.9,51.5
4.55,51.8
5.5,51.75
4.5,51.7
-9.293096,39.278838
15.855977,46.87313
0.958096,45.297185
-0.490685,38.345996
-3.710778,42.338593
6.400053,45.035996
8.439679,45.820387
22.44697,59.838603
4.35,51.9
4.9,52.4
4.65,52.1
4,51.4
3.45,51.3
6,51.9
4.85,52.1
4.9,52.5
4.65,51.55
5.6,53.2
5.75,52.35
5.2,52.05
4.55,51.85
4.15,51.8
5.9,51.3
5.3,52.3
5.4,52
4.6,52.65
5.2,52.7
4.15,51.4
5.75,53.45
5.85,51.85
-7.890773,39.052551
11.654485,45.751914
7.637559,44.630607
39.23884,43.981104
9.663056,45.853056
37.981053,44.580218
15.521475,46.991924
-9.156028,38.756283
15.444159,47.060987
-3.705442,37.053796
12.399594,42.28709
4.3,51.55
5.55,51.45
4.7,53
4.45,51.9
5.1,52.1
13.040362,41.855601
-8.471111,42.115278
11.762151,45.765181
7.078003,45.00158
35.058791,44.869842
15.577928,46.918353
4.85,51.9
4.85,52.2
4.8,51.6
3.887119,43.651721
37.264015,44.987579
-8.457521,37.179997
5.15,52.35
6.7,51.95
0.32223,44.87377
9.278413,45.757058
20.71869,38.796663
5.51872,43.27662
10.326097,46.003151
-3.550004,37.098193
6.1,51.4
14.413654,40.967647
2.055339,41.46673
7.611686,47.555724
19.444722,41.310833
-8.306603,43.279455
6.49384,46.51986
27.348793,36.860668
6.462879,51.616871
4.3,51.8
5.003233,45.766966
-3.104641,42.647286
12.202417,45.647303
12.889999,45.598923
15.729078,46.705368
-0.53517,42.83497
