"phylum","class","order","family","genus","species","country","adm1","lon","lat"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Spain",NA,"-17.776276","28.657183"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Spain",NA,"-17.776276","28.657183"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Spain",NA,"-17.776276","28.657183"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Spain",NA,"-17.776276","28.657183"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Spain",NA,"-17.776276","28.657183"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Spain",NA,"-17.776276","28.657183"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Spain",NA,"-17.776276","28.657183"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Spain",NA,"-17.776276","28.657183"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Spain",NA,"-17.776276","28.657183"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Spain",NA,"-17.776276","28.657183"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Portugal","Madeira","-16.941988","32.636294"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Portugal","Madeira","-16.941988","32.636294"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Portugal","Madeira","-16.941988","32.636294"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Portugal","Madeira","-16.941988","32.636294"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Portugal","Madeira","-16.941988","32.636294"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Spain","Islas Canarias","-16.838889","28.245278"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Spain","Islas Canarias","-16.49647","28.429412"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Portugal","Faro","-8.92111","37.20845"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Portugal","Faro","-8.90986","37.19041"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Portugal","Faro","-8.90986","37.19041"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Portugal","Faro","-8.87607","37.18137"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Portugal","Coimbra","-8.83565","40.13721"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Portugal","Setúbal","-8.79477","38.07359"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Portugal","Coimbra","-8.64798","40.10976"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Portugal","Faro","-8.03303","37.03326"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Portugal","Faro","-8.00903","37.15025"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Portugal","Faro","-7.8995","36.14867"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Portugal","Beja","-7.66297","37.61553"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","United Kingdom","England","-2.927715","51.357893"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Spain","Murcia","-0.96883","37.896348"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Spain","Comunidad Valenciana, Valencian Community","-0.673908","37.990186"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Spain","Comunidad Valenciana, Valencian Community","-0.658386","38.025016"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","France",NA,"2.98118","43.03959"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","France",NA,"3.04052","42.58725"
"Arthropoda","Insecta","Lepidoptera","Pyralidae","Cryptoblabes","Cryptoblabes gnidiella","Belgium","East Flanders","3.77526","51.0548"
