,acceptedNameUsage,acceptedScientificName,acceptedTaxonKey,accessRights,adm1,adm2,associatedReferences,associatedSequences,associatedTaxa,basisOfRecord,bibliographicCitation,catalogNumber,class,classKey,cloc,collectionCode,collectionID,collectionKey,continent,coordinatePrecision,coordinateUncertaintyInMeters,country,crawlId,datasetID,datasetKey,datasetName,dateIdentified,day,dynamicProperties,elevation,elevationAccuracy,establishmentMeans,eventDate,eventID,eventRemarks,eventTime,family,familyKey,fieldNumber,footprintSRS,footprintWKT,fullCountry,gbifID,genericName,genus,genusKey,geodeticDatum,georeferenceRemarks,georeferenceSources,habitat,higherClassification,higherGeography,hostingOrganizationKey,http://unknown.org/captive,http://unknown.org/language,http://unknown.org/license,http://unknown.org/nick,http://unknown.org/recordId,http://unknown.org/rights,http://unknown.org/rightsHolder,identificationID,identificationQualifier,identificationRemarks,identificationVerificationStatus,identifiedBy,identifier,individualCount,informationWithheld,installationKey,institutionCode,institutionID,institutionKey,isInCluster,island,islandGroup,ISO2,iucnRedListCategory,key,kingdom,kingdomKey,language,lastCrawled,lastInterpreted,lastParsed,lat,license,lifeStage,locality,locationID,locationRemarks,lon,modified,month,municipality,nameAccordingTo,nomenclaturalCode,occurrenceID,occurrenceRemarks,occurrenceStatus,order,orderKey,organismQuantity,organismQuantityType,originalNameUsage,otherCatalogNumbers,ownerInstitutionCode,phylum,phylumKey,preparations,projectId,protocol,publishingCountry,publishingOrgKey,recordedBy,references,rights,rightsHolder,samplingProtocol,scientificName,sex,species,speciesKey,specificEpithet,startDayOfYear,taxonConceptID,taxonID,taxonKey,taxonomicStatus,taxonRank,taxonRemarks,type,verbatimCoordinateSystem,verbatimEventDate,verbatimIdentification,verbatimLocality,verbatimSRS,verbatimTaxonRank,vernacularName,year,downloadDate
9,NA,"Cryptoblabes gnidiella (Milliére, 1867)",1873051,NA,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,1150296890,Insecta,216,"Miranda und Umgebung, Brena Alta, La Palma, Spain",naturgucker,NA,NA,NA,NA,250,Spain,222,NA,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,NA,1,NA,NA,NA,NA,2020-01-01T00:00:00,NA,NA,NA,Pyralidae,5336,NA,NA,NA,Spain,2545567732,Cryptoblabes,Cryptoblabes,1873021,WGS84,NA,NA,NA,NA,NA,bb646dff-a905-4403-a49b-6d378c2cf0d9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36cae45c-1983-48be-9cf9-0672c4a60612,naturgucker,NA,NA,FALSE,NA,NA,ES,NE,2545567732,Animalia,1,NA,2022-04-20T02:41:26.631+00:00,2022-09-08T23:19:57.070+00:00,2022-09-08T23:19:57.070+00:00,28.657183,http://creativecommons.org/licenses/by/4.0/legalcode,NA,"Miranda und Umgebung, Brena Alta, La Palma",NA,NA,-17.776276,NA,1,NA,NA,NA,NA,NA,PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,BIOCASE,DE,bb646dff-a905-4403-a49b-6d378c2cf0d9,-1082328577,NA,NA,NA,NA,"Cryptoblabes gnidiella (Milliére, 1867)",NA,Cryptoblabes gnidiella,1873051,gnidiella,NA,NA,NA,1873051,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,10/23/22
10,NA,"Cryptoblabes gnidiella (Milliére, 1867)",1873051,NA,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,1074204758,Insecta,216,"Miranda und Umgebung, Brena Alta, La Palma, Spain",naturgucker,NA,NA,NA,NA,250,Spain,222,NA,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,NA,13,NA,NA,NA,NA,2020-01-13T00:00:00,NA,NA,NA,Pyralidae,5336,NA,NA,NA,Spain,2558821082,Cryptoblabes,Cryptoblabes,1873021,WGS84,NA,NA,NA,NA,NA,bb646dff-a905-4403-a49b-6d378c2cf0d9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36cae45c-1983-48be-9cf9-0672c4a60612,naturgucker,NA,NA,FALSE,NA,NA,ES,NE,2558821082,Animalia,1,NA,2022-04-20T02:41:26.631+00:00,2022-09-08T23:12:06.925+00:00,2022-09-08T23:12:06.925+00:00,28.657183,http://creativecommons.org/licenses/by/4.0/legalcode,NA,"Miranda und Umgebung, Brena Alta, La Palma",NA,NA,-17.776276,NA,1,NA,NA,NA,NA,NA,PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,BIOCASE,DE,bb646dff-a905-4403-a49b-6d378c2cf0d9,-1082328577,NA,NA,NA,NA,"Cryptoblabes gnidiella (Milliére, 1867)",NA,Cryptoblabes gnidiella,1873051,gnidiella,NA,NA,NA,1873051,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,10/23/22
11,NA,"Cryptoblabes gnidiella (Milliére, 1867)",1873051,NA,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,-1577533158,Insecta,216,"Miranda und Umgebung, Brena Alta, La Palma, Spain",naturgucker,NA,NA,NA,NA,250,Spain,222,NA,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,NA,11,NA,NA,NA,NA,2020-01-11T00:00:00,NA,NA,NA,Pyralidae,5336,NA,NA,NA,Spain,2558821085,Cryptoblabes,Cryptoblabes,1873021,WGS84,NA,NA,NA,NA,NA,bb646dff-a905-4403-a49b-6d378c2cf0d9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36cae45c-1983-48be-9cf9-0672c4a60612,naturgucker,NA,NA,FALSE,NA,NA,ES,NE,2558821085,Animalia,1,NA,2022-04-20T02:41:26.631+00:00,2022-09-08T23:22:31.509+00:00,2022-09-08T23:22:31.509+00:00,28.657183,http://creativecommons.org/licenses/by/4.0/legalcode,NA,"Miranda und Umgebung, Brena Alta, La Palma",NA,NA,-17.776276,NA,1,NA,NA,NA,NA,NA,PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,BIOCASE,DE,bb646dff-a905-4403-a49b-6d378c2cf0d9,-1082328577,NA,NA,NA,NA,"Cryptoblabes gnidiella (Milliére, 1867)",NA,Cryptoblabes gnidiella,1873051,gnidiella,NA,NA,NA,1873051,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,10/23/22
12,NA,"Cryptoblabes gnidiella (Milliére, 1867)",1873051,NA,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,-25295313,Insecta,216,"Miranda und Umgebung, Brena Alta, La Palma, Spain",naturgucker,NA,NA,NA,NA,250,Spain,222,NA,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,NA,8,NA,NA,NA,NA,2020-01-08T00:00:00,NA,NA,NA,Pyralidae,5336,NA,NA,NA,Spain,2558821108,Cryptoblabes,Cryptoblabes,1873021,WGS84,NA,NA,NA,NA,NA,bb646dff-a905-4403-a49b-6d378c2cf0d9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36cae45c-1983-48be-9cf9-0672c4a60612,naturgucker,NA,NA,FALSE,NA,NA,ES,NE,2558821108,Animalia,1,NA,2022-04-20T02:41:26.631+00:00,2022-09-08T23:16:38.891+00:00,2022-09-08T23:16:38.891+00:00,28.657183,http://creativecommons.org/licenses/by/4.0/legalcode,NA,"Miranda und Umgebung, Brena Alta, La Palma",NA,NA,-17.776276,NA,1,NA,NA,NA,NA,NA,PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,BIOCASE,DE,bb646dff-a905-4403-a49b-6d378c2cf0d9,-1082328577,NA,NA,NA,NA,"Cryptoblabes gnidiella (Milliére, 1867)",NA,Cryptoblabes gnidiella,1873051,gnidiella,NA,NA,NA,1873051,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,10/23/22
13,NA,"Cryptoblabes gnidiella (Milliére, 1867)",1873051,NA,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,-812946952,Insecta,216,"Miranda und Umgebung, Brena Alta, La Palma, Spain",naturgucker,NA,NA,NA,NA,250,Spain,222,NA,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,NA,12,NA,NA,NA,NA,2020-01-12T00:00:00,NA,NA,NA,Pyralidae,5336,NA,NA,NA,Spain,2558821116,Cryptoblabes,Cryptoblabes,1873021,WGS84,NA,NA,NA,NA,NA,bb646dff-a905-4403-a49b-6d378c2cf0d9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36cae45c-1983-48be-9cf9-0672c4a60612,naturgucker,NA,NA,FALSE,NA,NA,ES,NE,2558821116,Animalia,1,NA,2022-04-20T02:41:26.631+00:00,2022-09-08T23:19:31.756+00:00,2022-09-08T23:19:31.756+00:00,28.657183,http://creativecommons.org/licenses/by/4.0/legalcode,NA,"Miranda und Umgebung, Brena Alta, La Palma",NA,NA,-17.776276,NA,1,NA,NA,NA,NA,NA,PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,BIOCASE,DE,bb646dff-a905-4403-a49b-6d378c2cf0d9,-1082328577,NA,NA,NA,NA,"Cryptoblabes gnidiella (Milliére, 1867)",NA,Cryptoblabes gnidiella,1873051,gnidiella,NA,NA,NA,1873051,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,10/23/22
14,NA,"Cryptoblabes gnidiella (Milliére, 1867)",1873051,NA,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,1946037358,Insecta,216,"Miranda und Umgebung, Brena Alta, La Palma, Spain",naturgucker,NA,NA,NA,NA,250,Spain,222,NA,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,NA,9,NA,NA,NA,NA,2020-01-09T00:00:00,NA,NA,NA,Pyralidae,5336,NA,NA,NA,Spain,2558821138,Cryptoblabes,Cryptoblabes,1873021,WGS84,NA,NA,NA,NA,NA,bb646dff-a905-4403-a49b-6d378c2cf0d9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36cae45c-1983-48be-9cf9-0672c4a60612,naturgucker,NA,NA,FALSE,NA,NA,ES,NE,2558821138,Animalia,1,NA,2022-04-20T02:41:26.631+00:00,2022-09-08T23:21:42.225+00:00,2022-09-08T23:21:42.225+00:00,28.657183,http://creativecommons.org/licenses/by/4.0/legalcode,NA,"Miranda und Umgebung, Brena Alta, La Palma",NA,NA,-17.776276,NA,1,NA,NA,NA,NA,NA,PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,BIOCASE,DE,bb646dff-a905-4403-a49b-6d378c2cf0d9,-1082328577,NA,NA,NA,NA,"Cryptoblabes gnidiella (Milliére, 1867)",NA,Cryptoblabes gnidiella,1873051,gnidiella,NA,NA,NA,1873051,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,10/23/22
22,NA,"Cryptoblabes gnidiella (Milliére, 1867)",1873051,NA,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,-25675023,Insecta,216,"Miranda und Umgebung, Brena Alta, La Palma, Spain",naturgucker,NA,NA,NA,NA,250,Spain,222,NA,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,NA,20,NA,NA,NA,NA,2019-05-20T00:00:00,NA,NA,NA,Pyralidae,5336,NA,NA,NA,Spain,2558821104,Cryptoblabes,Cryptoblabes,1873021,WGS84,NA,NA,NA,NA,NA,bb646dff-a905-4403-a49b-6d378c2cf0d9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36cae45c-1983-48be-9cf9-0672c4a60612,naturgucker,NA,NA,FALSE,NA,NA,ES,NE,2558821104,Animalia,1,NA,2022-04-20T02:41:26.631+00:00,2022-09-08T23:06:48.906+00:00,2022-09-08T23:06:48.906+00:00,28.657183,http://creativecommons.org/licenses/by/4.0/legalcode,NA,"Miranda und Umgebung, Brena Alta, La Palma",NA,NA,-17.776276,NA,5,NA,NA,NA,NA,NA,PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,BIOCASE,DE,bb646dff-a905-4403-a49b-6d378c2cf0d9,-1082328577,NA,NA,NA,NA,"Cryptoblabes gnidiella (Milliére, 1867)",NA,Cryptoblabes gnidiella,1873051,gnidiella,NA,NA,NA,1873051,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,10/23/22
23,NA,"Cryptoblabes gnidiella (Milliére, 1867)",1873051,NA,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,-775598724,Insecta,216,"Miranda und Umgebung, Brena Alta, La Palma, Spain",naturgucker,NA,NA,NA,NA,250,Spain,222,NA,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,NA,22,NA,NA,NA,NA,2019-05-22T00:00:00,NA,NA,NA,Pyralidae,5336,NA,NA,NA,Spain,2558821125,Cryptoblabes,Cryptoblabes,1873021,WGS84,NA,NA,NA,NA,NA,bb646dff-a905-4403-a49b-6d378c2cf0d9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36cae45c-1983-48be-9cf9-0672c4a60612,naturgucker,NA,NA,FALSE,NA,NA,ES,NE,2558821125,Animalia,1,NA,2022-04-20T02:41:26.631+00:00,2022-09-08T23:19:53.413+00:00,2022-09-08T23:19:53.413+00:00,28.657183,http://creativecommons.org/licenses/by/4.0/legalcode,NA,"Miranda und Umgebung, Brena Alta, La Palma",NA,NA,-17.776276,NA,5,NA,NA,NA,NA,NA,PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,BIOCASE,DE,bb646dff-a905-4403-a49b-6d378c2cf0d9,-1082328577,NA,NA,NA,NA,"Cryptoblabes gnidiella (Milliére, 1867)",NA,Cryptoblabes gnidiella,1873051,gnidiella,NA,NA,NA,1873051,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,10/23/22
24,NA,"Cryptoblabes gnidiella (Milliére, 1867)",1873051,NA,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,-559529223,Insecta,216,"Miranda und Umgebung, Brena Alta, La Palma, Spain",naturgucker,NA,NA,NA,NA,250,Spain,222,NA,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,NA,3,NA,NA,NA,NA,2019-05-03T00:00:00,NA,NA,NA,Pyralidae,5336,NA,NA,NA,Spain,2558821128,Cryptoblabes,Cryptoblabes,1873021,WGS84,NA,NA,NA,NA,NA,bb646dff-a905-4403-a49b-6d378c2cf0d9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36cae45c-1983-48be-9cf9-0672c4a60612,naturgucker,NA,NA,FALSE,NA,NA,ES,NE,2558821128,Animalia,1,NA,2022-04-20T02:41:26.631+00:00,2022-09-08T23:10:31.644+00:00,2022-09-08T23:10:31.644+00:00,28.657183,http://creativecommons.org/licenses/by/4.0/legalcode,NA,"Miranda und Umgebung, Brena Alta, La Palma",NA,NA,-17.776276,NA,5,NA,NA,NA,NA,NA,PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,BIOCASE,DE,bb646dff-a905-4403-a49b-6d378c2cf0d9,-1082328577,NA,NA,NA,NA,"Cryptoblabes gnidiella (Milliére, 1867)",NA,Cryptoblabes gnidiella,1873051,gnidiella,NA,NA,NA,1873051,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,10/23/22
25,NA,"Cryptoblabes gnidiella (Milliére, 1867)",1873051,NA,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,1142121985,Insecta,216,"Miranda und Umgebung, Brena Alta, La Palma, Spain",naturgucker,NA,NA,NA,NA,250,Spain,222,NA,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,NA,23,NA,NA,NA,NA,2019-05-23T00:00:00,NA,NA,NA,Pyralidae,5336,NA,NA,NA,Spain,2558821139,Cryptoblabes,Cryptoblabes,1873021,WGS84,NA,NA,NA,NA,NA,bb646dff-a905-4403-a49b-6d378c2cf0d9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36cae45c-1983-48be-9cf9-0672c4a60612,naturgucker,NA,NA,FALSE,NA,NA,ES,NE,2558821139,Animalia,1,NA,2022-04-20T02:41:26.631+00:00,2022-09-08T23:13:33.889+00:00,2022-09-08T23:13:33.889+00:00,28.657183,http://creativecommons.org/licenses/by/4.0/legalcode,NA,"Miranda und Umgebung, Brena Alta, La Palma",NA,NA,-17.776276,NA,5,NA,NA,NA,NA,NA,PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,BIOCASE,DE,bb646dff-a905-4403-a49b-6d378c2cf0d9,-1082328577,NA,NA,NA,NA,"Cryptoblabes gnidiella (Milliére, 1867)",NA,Cryptoblabes gnidiella,1873051,gnidiella,NA,NA,NA,1873051,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,10/23/22
