"phylum","class","order","family","genus","species","country","adm1","lon","lat"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Småland","14.18858","57.74953"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Agder","7.828809","58.067835"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Agder","7.440629","58.049499"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Agder","7.43373","58.082451"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Agder","8.414178","58.283527"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Agder","7.294149","58.089527"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Agder","8.858682","58.444878"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Vestfold og Telemark","9.828764","58.97353"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Viken","10.465876","59.839109"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Viken","10.7101","59.3268"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Agder","8.703004","58.39197"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Vestfold og Telemark","10.1774","59.056557"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Öland","16.63692","56.62909"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Småland","14.75967","56.78312"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Halland","12.74624","56.75226"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Bohuslän","11.53622","58.28431"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Småland","14.61259","56.77238"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Småland","16.08782","56.93252"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Småland","14.54434","58.11079"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Skåne","14.18643","55.77691"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Närke","15.56895","59.11514"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Öland","16.52461","56.62091"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Småland","15.73269","56.59224"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Öland","16.58969","56.8067"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Finland","Etelä-Häme (EH)","24.434353","60.98228"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","South Korea","Gyeonggi-do","126.690993","37.713038"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Halland","12.76933","56.64537"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Västergötland","12.22542","57.65237"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Halland","12.78388","56.75188"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Uppland","17.44438","60.60777"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Viken","11.539372","59.0091"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Finland","Laatokan Karjala (LK)","29.559832","61.570257"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","France",NA,"6.42233","45.13805"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Zeeland","3.35","51.35"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Finland","Laatokan Karjala (LK)","29.533116","61.509284"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Gotland","18.14727","57.50498"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Halland","12.94007","56.58754"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Gästrikland","17.29333","60.50876"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Uppland","18.89745","59.91129"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Öland","16.49769","56.7002"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Agder","8.861521","58.450383"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Viken","11.714022","59.356182"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Öland","16.66328","56.84064"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Denmark","Lfm","12.577","54.975899"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Denmark","Sj","8.76421","54.999802"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Utrecht","5.25","52.1"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Finland","Uusimaa (U)","26.905662","60.635343"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Germany","Sachsen","14.064383","51.188752"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Friesland","6.3","53"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Brabant","5.85","51.4"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Drenthe","6.4","52.75"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","South Korea","Gangwon-do","128.146397","37.458185"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Groningen","7.05","53"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Friesland","5.55","52.85"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Finland","Varsinais-Suomi (V)","24.00703","60.299191"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Östergötland","15.49725","58.50822"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Öland","16.55362","56.66097"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Dalsland","11.96869","58.57025"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Halland","12.64779","56.72316"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Bohuslän","11.57336","58.17201"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Halland","13.03021","56.68077"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Limburg","6.1","51.15"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Holland","4.7","52.9"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Zuid-Holland","4.35","52.1"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Holland","4.55","52.4"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Brabant","4.3","51.4"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Vestland","5.338399","60.361636"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Denmark","Nez","12.0539","56.042702"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Denmark","Nej","10.4208","57.5975"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Innlandet","9.820706","61.586001"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Utrecht","5.25","52.2"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Zuid-Holland","4.4557","52.1619"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Finland","Ahvenanmaa (A)","20.181258","59.970667"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Rogaland","6.260422","58.351655"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Viken","10.911054","59.088843"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Finland","Etelä-Karjala (EK)","26.905924","60.545594"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Finland","Pohjois-Savo (PS)","28.052631","63.004906"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Holland","4.6","52.6"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Gelderland","5.65","52.05"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Overijssel","6.95","52.25"
