"lon","lat"
19.871424,60.174331
9.56625,47.5015
13.21,47.46
14.34,48.24
16.44,47.3
15.45,48.72
14.23,48.34
15.39,47.03
12.577,54.975899
8.76421,54.999802
10.4208,57.5975
8.92036,55.089901
8.523792,55.092559
8.92018,55.179699
10.3454,55.531799
12,54.787
11.9016,54.875301
11.6177,55.601101
9.23267,54.909901
9.90338,56.9734
12.3918,55.4216
12.5099,56.0532
21.92451,58.26813
27.46277,57.83673
23.7,58.6
26.3,57.65
27.6,57.8
24.215,58.821
24.68333,59.23333
22.56389,58.26667
22.45,58.23333
24.38333,59.45
26.18333,59.09167
25.83333,59.25
24.72,59.437
24.434353,60.98228
29.559832,61.570257
29.533116,61.509284
26.905662,60.635343
24.00703,60.299191
20.181258,59.970667
26.905924,60.545594
28.802997,61.879919
28.049685,63.005377
26.903228,61.443022
29.649202,62.319658
25.067988,60.269081
29.758218,62.245709
23.458334,59.982069
24.335238,61.107225
23.837267,60.238686
22.269228,59.832322
28.37875,60.897555
24.92525,60.170379
22.387305,62.803092
19.672784,60.25357
29.964943,61.801441
26.16721,61.274517
24.385365,60.160822
22.359362,60.464862
19.832385,60.352441
6.42233,45.13805
1.36076,46.80345
7.33019,47.63515
2.14464,46.99203
2.30854,48.33613
-0.53121,47.49041
14.064383,51.188752
12.343301,51.314037
14.541636,51.524982
13.338639,48.664227
13.15,48.880001
12.075,48.513
6.353304,49.543534
11.9532,48.871101
7.834031,49.786408
7.773014,49.462154
8.44791,49.317858
11.873,46.739
25.261,55.398
6.328125,49.572574
6.337988,49.525109
3.35,51.35
5.25,52.1
6.3,53
5.85,51.4
6.4,52.75
7.05,53
5.55,52.85
6.1,51.15
4.7,52.9
4.35,52.1
4.3,51.4
5.25,52.2
4.4557,52.1619
4.6,52.6
6.95,52.25
4,51.4
5.3,51.5
4.1,51.95
3.7,51.65
5.95,52.95
5.45,52.45
6.3,51.95
6.5,52.5
5.2,51.55
4.55,52
6.35,52.7
6.35,52.75
3.9,51.7
6.4,52.6
6.75,52.15
5.4,52
5.35,52.1
5.35,51.65
4.35,51.95
7.05,52.65
5.8,52.55
6.4,52
5.55,52.3
6.15,51.4
3.75,51.7
5.4,52.9
3.45,51.5
5.45,51.35
4.8,51.4
4.05,51.25
5.55,51.45
7.1,52.9
6.9,52.75
5.85,51.75
5.5,52.2
6.55,52.1
6.2,52.9
5.85,53.2
5.8,52.35
4.38,52.157
6,52.75
5.8,52
6.65,53
6.45,52.25
5.496456,52.015807
4.5145,51.9418
7.828809,58.067835
7.43373,58.082451
8.414178,58.283527
7.294149,58.089527
8.858682,58.444878
10.465876,59.839109
8.703004,58.39197
10.1774,59.056557
11.539372,59.0091
8.861521,58.450383
5.338399,60.361636
9.820706,61.586001
6.260422,58.351655
10.911054,59.088843
7.866646,58.130065
10.043821,59.23587
5.925135,58.526783
5.995759,58.54493
10.401126,59.208809
10.595314,59.418057
5.831928,58.833452
10.645764,59.699502
7.553763,58.171946
8.949284,59.107426
11.3855,59.9621
10.6574,59.5642
8.2339,58.1858
11.1005,59.2975
9.026119,58.621377
8.2409,58.3331
9.8091,59.0998
8.1001,58.1616
10.848118,59.084486
8.4664,58.3316
8.1386,58.1178
10.408,59.96
10.7279,59.9379
14.18858,57.74953
16.63692,56.62909
14.75967,56.78312
12.74624,56.75226
11.53622,58.28431
16.08782,56.93252
14.18643,55.77691
15.56895,59.11514
16.52461,56.62091
15.73269,56.59224
12.76933,56.64537
12.22542,57.65237
12.78388,56.75188
17.44438,60.60777
18.14727,57.50498
12.94007,56.58754
17.29333,60.50876
18.89745,59.91129
16.49769,56.7002
15.49725,58.50822
16.55362,56.66097
12.64779,56.72316
11.57336,58.17201
13.03021,56.68077
12.62897,56.78472
18.6126,60.11443
16.56876,61.84416
16.9244,57.10892
13.18341,56.7523
11.77815,57.65255
15.65579,56.22704
16.45819,57.34895
16.42359,58.6606
11.94802,57.75561
12.05633,58.40857
11.4093,58.44577
16.11895,57.03031
12.08457,57.65801
15.79962,56.12951
13.55281,59.66055
13.11239,59.36607
16.96724,59.40186
18.32268,57.05158
15.29287,56.14329
12.01896,57.37368
17.33979,60.44019
13.16085,56.64276
13.89656,57.14628
15.65154,59.7719
16.67754,56.64626
12.48079,58.80681
16.08369,56.67653
15.2884,56.17737
15.85152,59.58358
16.4462,56.55819
1.55888,52.086238
1.397235,51.328193
1.329512,51.930374
1.622834,52.677263
0.279576,52.310595
0.730933,52.611262
-1.506156,50.663626
1.618308,52.26365
-1.958978,50.592721
-2.438636,50.519958
-1.930617,50.66465
