"phylum","class","order","family","genus","species","country","adm1","lon","lat"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7347","-15.6509"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7347","-15.6509"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7347","-15.6509"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7347","-15.6509"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7347","-15.6509"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7347","-15.6509"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7315","-15.6587"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7315","-15.6587"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7315","-15.6587"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7315","-15.6587"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7338","-15.8703"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7315","-15.6587"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7315","-15.6587"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7315","-15.6587"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7315","-15.6587"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7315","-15.6587"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7338","-15.8703"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7315","-15.6587"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7315","-15.6587"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7338","-15.8703"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.6875","-15.7508"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.73","-15.78"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7338","-15.8703"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7338","-15.8703"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7338","-15.8703"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7338","-15.8703"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.6875","-15.7508"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.73","-15.78"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7338","-15.8703"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.6875","-15.7508"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7338","-15.8703"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.6875","-15.7508"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7095","-15.6338"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.73","-15.78"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.6875","-15.7508"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.6875","-15.7508"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.73","-15.78"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7315","-15.6587"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7315","-15.6587"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7315","-15.6587"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7315","-15.6587"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.73","-15.78"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.6852","-15.7275"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.6852","-15.7275"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7255","-15.8393"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.73","-15.78"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.73","-15.78"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.6852","-15.7275"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.73","-15.78"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7095","-15.6338"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7095","-15.6338"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.73","-15.78"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.73","-15.78"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.73","-15.78"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.6852","-15.7275"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7095","-15.6338"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7095","-15.6338"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","128.7255","-15.8393"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Queensland","152.97","-27.5"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Queensland","152.97","-27.5"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Queensland","152.97","-27.5"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Queensland","152.97","-27.5"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Queensland","152.97","-27.5"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Queensland","152.97","-27.5"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Queensland","152.97","-27.5"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Queensland","152.97","-27.5"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Queensland","152.97","-27.5"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Queensland","148.2","-23.52"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Queensland","152.97","-27.5"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Queensland","148.2","-23.52"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Queensland","152.97","-27.5"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Queensland","152.97","-27.5"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","126.6525","-14.3"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","126.63","-14.3"
"Arthropoda","Arachnida","Trombidiformes","Tetranychidae","Eutetranychus","Eutetranychus orientalis","Australia","Western Australia","126.63","-14.3"
