"","acceptedScientificName","acceptedTaxonKey","adm1","adm2","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionKey","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","crawlId","datasetID","datasetKey","datasetName","dateIdentified","day","establishmentMeans","eventDate","eventRemarks","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferenceSources","higherClassification","higherGeography","hostingOrganizationKey","http://unknown.org/language","http://unknown.org/rights","http://unknown.org/rightsHolder","http://unknown.org/species","http://unknown.org/taxonRankID","identificationQualifier","identificationRemarks","identifiedBy","identifier","individualCount","installationKey","institutionCode","institutionID","institutionKey","isInCluster","ISO2","iucnRedListCategory","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationID","lon","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","otherCatalogNumbers","phylum","phylumKey","preparations","projectId","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","vernacularName","year","downloadDate"
"6","Eutetranychus orientalis (Klein, 1936)",2129393,"Western Australia",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"UQIC84138","Arachnida",367,"Kununurra, WA, Australia, Western Australia, Australia","Arachnids","d3ab26a1-b655-42b3-ae4c-a04b651f4303",NA,0.01667,500,"Australia",290,NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,12,NA,"2003-09-12T00:00:00",NA,"Tetranychidae",6057,NA,NA,"Australia","1633612167","Eutetranychus","Eutetranychus",2129375,"WGS84",NA,NA,NA,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8",NA,NA,NA,"Eutetranychus orientalis","7000","cf",NA,"Beard, Jenny","1ff507e3-587d-4d3d-8a0b-d7b68e814b5c",1,"19893c10-381e-4534-9bb8-6c37d03ad29e","QM",NA,"442fa096-b2bf-4ecc-b513-ae0958eeec25",FALSE,"AU","NE",1633612167,"Animalia",1,NA,"2022-10-18T00:04:02.411+00:00","2022-10-18T00:41:34.917+00:00","2022-10-18T00:41:34.917+00:00",-15.6509,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Kununurra, WA, Australia",NA,128.7347,"2021-02-24T00:00:00.000+00:00",9,NA,"1ff507e3-587d-4d3d-8a0b-d7b68e814b5c",NA,"PRESENT","Trombidiformes",543,"1397892","Arthropoda",54,"Slide",NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6","urn:qm.qld.gov.au:collector:564823628",NA,NA,NA,"Hand","Eutetranychus orientalis (Klein, 1936)",NA,"MALE","Eutetranychus orientalis",2129393,"orientalis","https://biodiversity.org.au/afd/taxa/d68b5ec9-e529-437c-99e0-6ce4805ae3cd",NA,2129393,"ACCEPTED","SPECIES",NA,NA,NA,NA,2003,2022-10-23
"7","Eutetranychus orientalis (Klein, 1936)",2129393,"Western Australia",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"UQIC84140","Arachnida",367,"Kununurra, WA, Australia, Western Australia, Australia","Arachnids","d3ab26a1-b655-42b3-ae4c-a04b651f4303",NA,0.01667,500,"Australia",290,NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,12,NA,"2003-09-12T00:00:00",NA,"Tetranychidae",6057,NA,NA,"Australia","1633612172","Eutetranychus","Eutetranychus",2129375,"WGS84",NA,NA,NA,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8",NA,NA,NA,"Eutetranychus orientalis","7000","cf",NA,"Beard, Jenny","7a188812-a0a9-4f0f-aae8-019d83cda177",1,"19893c10-381e-4534-9bb8-6c37d03ad29e","QM",NA,"442fa096-b2bf-4ecc-b513-ae0958eeec25",FALSE,"AU","NE",1633612172,"Animalia",1,NA,"2022-10-18T00:04:02.411+00:00","2022-10-18T00:41:39.188+00:00","2022-10-18T00:41:39.188+00:00",-15.6509,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Kununurra, WA, Australia",NA,128.7347,"2021-02-24T00:00:00.000+00:00",9,NA,"7a188812-a0a9-4f0f-aae8-019d83cda177",NA,"PRESENT","Trombidiformes",543,"1397935","Arthropoda",54,"Slide",NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6","urn:qm.qld.gov.au:collector:564823628",NA,NA,NA,"Hand","Eutetranychus orientalis (Klein, 1936)",NA,"MALE","Eutetranychus orientalis",2129393,"orientalis","https://biodiversity.org.au/afd/taxa/d68b5ec9-e529-437c-99e0-6ce4805ae3cd",NA,2129393,"ACCEPTED","SPECIES",NA,NA,NA,NA,2003,2022-10-23
"8","Eutetranychus orientalis (Klein, 1936)",2129393,"Western Australia",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"UQIC84132","Arachnida",367,"Kununurra, WA, Australia, Western Australia, Australia","Arachnids","d3ab26a1-b655-42b3-ae4c-a04b651f4303",NA,0.01667,500,"Australia",290,NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,12,NA,"2003-09-12T00:00:00",NA,"Tetranychidae",6057,NA,NA,"Australia","1633612193","Eutetranychus","Eutetranychus",2129375,"WGS84",NA,NA,NA,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8",NA,NA,NA,"Eutetranychus orientalis","7000","cf",NA,"Beard, Jenny","c1148989-2054-4814-a13a-f0d78e0f43de",1,"19893c10-381e-4534-9bb8-6c37d03ad29e","QM",NA,"442fa096-b2bf-4ecc-b513-ae0958eeec25",FALSE,"AU","NE",1633612193,"Animalia",1,NA,"2022-10-18T00:04:02.411+00:00","2022-10-18T00:41:42.880+00:00","2022-10-18T00:41:42.880+00:00",-15.6509,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Kununurra, WA, Australia",NA,128.7347,"2021-02-24T00:00:00.000+00:00",9,NA,"c1148989-2054-4814-a13a-f0d78e0f43de",NA,"PRESENT","Trombidiformes",543,"1397803","Arthropoda",54,"Slide",NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6","urn:qm.qld.gov.au:collector:564823628",NA,NA,NA,"Hand","Eutetranychus orientalis (Klein, 1936)",NA,"FEMALE","Eutetranychus orientalis",2129393,"orientalis","https://biodiversity.org.au/afd/taxa/d68b5ec9-e529-437c-99e0-6ce4805ae3cd",NA,2129393,"ACCEPTED","SPECIES",NA,NA,NA,NA,2003,2022-10-23
"9","Eutetranychus orientalis (Klein, 1936)",2129393,"Western Australia",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"UQIC84136","Arachnida",367,"Kununurra, WA, Australia, Western Australia, Australia","Arachnids","d3ab26a1-b655-42b3-ae4c-a04b651f4303",NA,0.01667,500,"Australia",290,NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,12,NA,"2003-09-12T00:00:00",NA,"Tetranychidae",6057,NA,NA,"Australia","1633612197","Eutetranychus","Eutetranychus",2129375,"WGS84",NA,NA,NA,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8",NA,NA,NA,"Eutetranychus orientalis","7000","cf",NA,"Beard, Jenny","e56151bd-0c0e-41d2-bc46-2be91b0b9e27",1,"19893c10-381e-4534-9bb8-6c37d03ad29e","QM",NA,"442fa096-b2bf-4ecc-b513-ae0958eeec25",FALSE,"AU","NE",1633612197,"Animalia",1,NA,"2022-10-18T00:04:02.411+00:00","2022-10-18T00:41:44.743+00:00","2022-10-18T00:41:44.743+00:00",-15.6509,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Kununurra, WA, Australia",NA,128.7347,"2021-02-24T00:00:00.000+00:00",9,NA,"e56151bd-0c0e-41d2-bc46-2be91b0b9e27",NA,"PRESENT","Trombidiformes",543,"1397864","Arthropoda",54,"Slide",NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6","urn:qm.qld.gov.au:collector:564823628",NA,NA,NA,"Hand","Eutetranychus orientalis (Klein, 1936)",NA,"FEMALE","Eutetranychus orientalis",2129393,"orientalis","https://biodiversity.org.au/afd/taxa/d68b5ec9-e529-437c-99e0-6ce4805ae3cd",NA,2129393,"ACCEPTED","SPECIES",NA,NA,NA,NA,2003,2022-10-23
"10","Eutetranychus orientalis (Klein, 1936)",2129393,"Western Australia",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"UQIC84139","Arachnida",367,"Kununurra, WA, Australia, Western Australia, Australia","Arachnids","d3ab26a1-b655-42b3-ae4c-a04b651f4303",NA,0.01667,500,"Australia",290,NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,12,NA,"2003-09-12T00:00:00",NA,"Tetranychidae",6057,NA,NA,"Australia","1633612241","Eutetranychus","Eutetranychus",2129375,"WGS84",NA,NA,NA,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8",NA,NA,NA,"Eutetranychus orientalis","7000","cf",NA,"Beard, Jenny","4616ee27-a883-4977-b25f-dccf24982e52",1,"19893c10-381e-4534-9bb8-6c37d03ad29e","QM",NA,"442fa096-b2bf-4ecc-b513-ae0958eeec25",FALSE,"AU","NE",1633612241,"Animalia",1,NA,"2022-10-18T00:04:02.411+00:00","2022-10-18T00:41:37.073+00:00","2022-10-18T00:41:37.073+00:00",-15.6509,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Kununurra, WA, Australia",NA,128.7347,"2021-02-24T00:00:00.000+00:00",9,NA,"4616ee27-a883-4977-b25f-dccf24982e52",NA,"PRESENT","Trombidiformes",543,"1397914","Arthropoda",54,"Slide",NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6","urn:qm.qld.gov.au:collector:564823628",NA,NA,NA,"Hand","Eutetranychus orientalis (Klein, 1936)",NA,"MALE","Eutetranychus orientalis",2129393,"orientalis","https://biodiversity.org.au/afd/taxa/d68b5ec9-e529-437c-99e0-6ce4805ae3cd",NA,2129393,"ACCEPTED","SPECIES",NA,NA,NA,NA,2003,2022-10-23
"11","Eutetranychus orientalis (Klein, 1936)",2129393,"Western Australia",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"UQIC84141","Arachnida",367,"Kununurra, WA, Australia, Western Australia, Australia","Arachnids","d3ab26a1-b655-42b3-ae4c-a04b651f4303",NA,0.01667,500,"Australia",290,NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,12,NA,"2003-09-12T00:00:00",NA,"Tetranychidae",6057,NA,NA,"Australia","1633612249","Eutetranychus","Eutetranychus",2129375,"WGS84",NA,NA,NA,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8",NA,NA,NA,"Eutetranychus orientalis","7000","cf",NA,"Beard, Jenny","b1021110-d740-48de-a016-514dffa7c195",1,"19893c10-381e-4534-9bb8-6c37d03ad29e","QM",NA,"442fa096-b2bf-4ecc-b513-ae0958eeec25",FALSE,"AU","NE",1633612249,"Animalia",1,NA,"2022-10-18T00:04:02.411+00:00","2022-10-18T00:41:26.986+00:00","2022-10-18T00:41:26.986+00:00",-15.6509,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Kununurra, WA, Australia",NA,128.7347,"2021-02-24T00:00:00.000+00:00",9,NA,"b1021110-d740-48de-a016-514dffa7c195",NA,"PRESENT","Trombidiformes",543,"1397952","Arthropoda",54,"Slide",NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6","urn:qm.qld.gov.au:collector:564823628",NA,NA,NA,"Hand","Eutetranychus orientalis (Klein, 1936)",NA,"MALE","Eutetranychus orientalis",2129393,"orientalis","https://biodiversity.org.au/afd/taxa/d68b5ec9-e529-437c-99e0-6ce4805ae3cd",NA,2129393,"ACCEPTED","SPECIES",NA,NA,NA,NA,2003,2022-10-23
"12","Eutetranychus orientalis (Klein, 1936)",2129393,"Western Australia",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"UQIC84135","Arachnida",367,"Kununurra, WA, Australia, Western Australia, Australia","Arachnids","d3ab26a1-b655-42b3-ae4c-a04b651f4303",NA,0.01667,500,"Australia",290,NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,12,NA,"2003-09-12T00:00:00",NA,"Tetranychidae",6057,NA,NA,"Australia","1633612252","Eutetranychus","Eutetranychus",2129375,"WGS84",NA,NA,NA,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8",NA,NA,NA,"Eutetranychus orientalis","7000","cf",NA,"Beard, Jenny","672770b4-815c-440f-a290-0326bda37887",1,"19893c10-381e-4534-9bb8-6c37d03ad29e","QM",NA,"442fa096-b2bf-4ecc-b513-ae0958eeec25",FALSE,"AU","NE",1633612252,"Animalia",1,NA,"2022-10-18T00:04:02.411+00:00","2022-10-18T00:41:22.004+00:00","2022-10-18T00:41:22.004+00:00",-15.6509,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Kununurra, WA, Australia",NA,128.7347,"2021-02-24T00:00:00.000+00:00",9,NA,"672770b4-815c-440f-a290-0326bda37887",NA,"PRESENT","Trombidiformes",543,"1397851","Arthropoda",54,"Slide",NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6","urn:qm.qld.gov.au:collector:564823628",NA,NA,NA,"Hand","Eutetranychus orientalis (Klein, 1936)",NA,"FEMALE","Eutetranychus orientalis",2129393,"orientalis","https://biodiversity.org.au/afd/taxa/d68b5ec9-e529-437c-99e0-6ce4805ae3cd",NA,2129393,"ACCEPTED","SPECIES",NA,NA,NA,NA,2003,2022-10-23
"13","Eutetranychus orientalis (Klein, 1936)",2129393,"Western Australia",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"UQIC84134","Arachnida",367,"Kununurra, WA, Australia, Western Australia, Australia","Arachnids","d3ab26a1-b655-42b3-ae4c-a04b651f4303",NA,0.01667,500,"Australia",290,NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,12,NA,"2003-09-12T00:00:00",NA,"Tetranychidae",6057,NA,NA,"Australia","1633612268","Eutetranychus","Eutetranychus",2129375,"WGS84",NA,NA,NA,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8",NA,NA,NA,"Eutetranychus orientalis","7000","cf",NA,"Beard, Jenny","fa83667f-9d75-45a1-9487-b3426d737340",1,"19893c10-381e-4534-9bb8-6c37d03ad29e","QM",NA,"442fa096-b2bf-4ecc-b513-ae0958eeec25",FALSE,"AU","NE",1633612268,"Animalia",1,NA,"2022-10-18T00:04:02.411+00:00","2022-10-18T00:41:45.137+00:00","2022-10-18T00:41:45.137+00:00",-15.6509,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Kununurra, WA, Australia",NA,128.7347,"2021-02-24T00:00:00.000+00:00",9,NA,"fa83667f-9d75-45a1-9487-b3426d737340",NA,"PRESENT","Trombidiformes",543,"1397834","Arthropoda",54,"Slide",NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6","urn:qm.qld.gov.au:collector:564823628",NA,NA,NA,"Hand","Eutetranychus orientalis (Klein, 1936)",NA,"FEMALE","Eutetranychus orientalis",2129393,"orientalis","https://biodiversity.org.au/afd/taxa/d68b5ec9-e529-437c-99e0-6ce4805ae3cd",NA,2129393,"ACCEPTED","SPECIES",NA,NA,NA,NA,2003,2022-10-23
"14","Eutetranychus orientalis (Klein, 1936)",2129393,"Western Australia",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"UQIC84131","Arachnida",367,"Kununurra, WA, Australia, Western Australia, Australia","Arachnids","d3ab26a1-b655-42b3-ae4c-a04b651f4303",NA,0.01667,500,"Australia",290,NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,12,NA,"2003-09-12T00:00:00",NA,"Tetranychidae",6057,NA,NA,"Australia","1633612296","Eutetranychus","Eutetranychus",2129375,"WGS84",NA,NA,NA,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8",NA,NA,NA,"Eutetranychus orientalis","7000","cf",NA,"Beard, Jenny","84fe7005-a94a-4ff8-8853-17c00a4ceb44",1,"19893c10-381e-4534-9bb8-6c37d03ad29e","QM",NA,"442fa096-b2bf-4ecc-b513-ae0958eeec25",FALSE,"AU","NE",1633612296,"Animalia",1,NA,"2022-10-18T00:04:02.411+00:00","2022-10-18T00:41:39.492+00:00","2022-10-18T00:41:39.492+00:00",-15.6509,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Kununurra, WA, Australia",NA,128.7347,"2021-02-24T00:00:00.000+00:00",9,NA,"84fe7005-a94a-4ff8-8853-17c00a4ceb44",NA,"PRESENT","Trombidiformes",543,"1397790","Arthropoda",54,"Slide",NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6","urn:qm.qld.gov.au:collector:564823628",NA,NA,NA,"Hand","Eutetranychus orientalis (Klein, 1936)",NA,"FEMALE","Eutetranychus orientalis",2129393,"orientalis","https://biodiversity.org.au/afd/taxa/d68b5ec9-e529-437c-99e0-6ce4805ae3cd",NA,2129393,"ACCEPTED","SPECIES",NA,NA,NA,NA,2003,2022-10-23
"15","Eutetranychus orientalis (Klein, 1936)",2129393,"Western Australia",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"UQIC84137","Arachnida",367,"Kununurra, WA, Australia, Western Australia, Australia","Arachnids","d3ab26a1-b655-42b3-ae4c-a04b651f4303",NA,0.01667,500,"Australia",290,NA,"a79c2b50-6c8a-11de-8226-b8a03c50a862",NA,NA,12,NA,"2003-09-12T00:00:00",NA,"Tetranychidae",6057,NA,NA,"Australia","1633612315","Eutetranychus","Eutetranychus",2129375,"WGS84",NA,NA,NA,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8",NA,NA,NA,"Eutetranychus orientalis","7000","cf",NA,"Beard, Jenny","f5d5da18-2601-4b1e-9966-486a0fd20d89",1,"19893c10-381e-4534-9bb8-6c37d03ad29e","QM",NA,"442fa096-b2bf-4ecc-b513-ae0958eeec25",FALSE,"AU","NE",1633612315,"Animalia",1,NA,"2022-10-18T00:04:02.411+00:00","2022-10-18T00:41:30.428+00:00","2022-10-18T00:41:30.428+00:00",-15.6509,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Kununurra, WA, Australia",NA,128.7347,"2021-02-24T00:00:00.000+00:00",9,NA,"f5d5da18-2601-4b1e-9966-486a0fd20d89",NA,"PRESENT","Trombidiformes",543,"1397876","Arthropoda",54,"Slide",NA,"DWC_ARCHIVE","AU","f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6","urn:qm.qld.gov.au:collector:564823628",NA,NA,NA,"Hand","Eutetranychus orientalis (Klein, 1936)",NA,"MALE","Eutetranychus orientalis",2129393,"orientalis","https://biodiversity.org.au/afd/taxa/d68b5ec9-e529-437c-99e0-6ce4805ae3cd",NA,2129393,"ACCEPTED","SPECIES",NA,NA,NA,NA,2003,2022-10-23
