"","acceptedNameUsageID","acceptedScientificName","acceptedTaxonKey","accessRights","adm1","adm2","associatedReferences","associatedSequences","basisOfRecord","behavior","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","crawlId","created","dataGeneralizations","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNumber","footprintWKT","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferenceRemarks","georeferenceSources","habitat","higherClassification","higherGeography","http://rs.tdwg.org/dwc/terms/organismQuantity","http://unknown.org/nick","http://unknown.org/occurrenceDetails","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","installationKey","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationID","locationRemarks","lon","modified","month","municipality","nameAccordingTo","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismQuantity","originalNameUsage","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","samplingProtocol","scientificName","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","type","typeStatus","verbatimCoordinateSystem","verbatimEventDate","verbatimLocality","verbatimSRS","verbatimTaxonRank","vernacularName","year","downloadDate"
"1",NA,"Laodelphax striatellus (Fallén, 1826)",4489285,NA,"Gyeongsangbuk-do","Ulleung-gun",NA,NA,"PRESERVED_SPECIMEN",NA,"43","Insecta",216,"Dokdoisabu-gil, Gyeongsangbuk-do, Ulleung-gun, South Korea","IN(<U+ACE4><U+CDA9>)",NA,NA,NA,1421,"South Korea",20,NA,NA,NA,"eb47a0de-862f-44c0-be42-0e300abaaab4",NA,"2018-01-01T00:00:00",20,NA,NA,NA,NA,NA,NA,"2020-03-20T00:00:00",NA,NA,NA,"Delphacidae",8498,NA,NA,"Korea, Republic of","2597482863","Laodelphax","Laodelphax",2056110,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sang-Jae Suh","dokdo_insect_list_43",NA,NA,"9afa1395-6e93-4848-a42d-bce896f5195e","KNU",NA,"KR",2597482863,"Animalia",1,NA,"2020-10-06T00:13:06.930+0000","2020-10-07T12:57:45.920+0000","2020-10-07T12:57:45.920+0000",37.2391,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Dokdoisabu-gil",NA,NA,131.8686,NA,3,NA,NA,NA,"dokdo_insect_list_43",NA,"PRESENT","Hemiptera",809,NA,NA,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","KR","eb07eeb0-3db9-11d9-8439-b8a03c50a862",NA,NA,NA,NA,NA,NA,"Laodelphax striatellus (Fallén, 1826)",NA,"Laodelphax striatellus",4489285,"striatellus",NA,NA,NA,4489285,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,"<U+C560><U+BA78><U+AD6C>",2020,2020-10-17
"2",NA,"Laodelphax striatellus (Fallén, 1826)",4489285,"Free usage",NA,"Småland",NA,NA,"HUMAN_OBSERVATION",NA,"130314327","Insecta",216,"Torpet, Karlsbo, Småland, Sweden, EUROPE","Artportalen",NA,"EUROPE",NA,275,"Sweden",249,NA,NA,"urn:lsid:swedishlifewatch.se:DataProvider:1","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,10,NA,NA,NA,NA,NA,"192","2020-07-10T00:00:00",NA,NA,"00:00:00 - 00:00:00","Delphacidae",8498,NA,NA,"Sweden","2816067416","Laodelphax","Laodelphax",2056110,"WGS84",NA,NA,NA,"Biota;Animalia;Arthropoda;Hexapoda;Insecta;Hemiptera;Auchenorrhyncha;Fulgoromorpha;Delphacidae;Delphacinae;Delphacini",NA,NA,NA,NA,NA,NA,NA,"Unvalidated",NA,"urn:lsid:artportalen.se:Sighting:86812861",NA,"More information can be obtained from the Data Provider.","4346b227-ca68-4d54-8a77-909148492e0b","ArtDatabanken",NA,"SE",2816067416,"Animalia",1,"Swedish","2020-10-14T19:12:42.940+0000","2020-10-15T00:33:59.818+0000","2020-10-15T00:33:59.818+0000",56.817788,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,"Torpet, Karlsbo",NA,NA,16.138791,"2020-07-11T22:15:04.000+0000",7,"Kalmar",NA,NA,"urn:lsid:artportalen.se:Sighting:86812861","Gen prep","PRESENT","Hemiptera",809,NA,NA,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","SE","b8323864-602a-4a7d-9127-bb903054e97d","Leif Tägtström, Lars Rigbäck",NA,NA,NA,"Leif Tägtström",NA,"Laodelphax striatellus (Fallén, 1826)","MALE","Laodelphax striatellus",4489285,"striatellus","192","urn:lsid:dyntaxa.se:Taxon:234595","urn:lsid:dyntaxa.se:Taxon:234595",4489285,"ACCEPTED","SPECIES","Occurrence",NA,NA,NA,NA,NA,NA,NA,2020,2020-10-17
"3",NA,"Laodelphax striatellus (Fallén, 1826)",4489285,NA,"Niederösterreich",NA,NA,NA,"HUMAN_OBSERVATION",NA,"54315384","Insecta",216,"Niederösterreich, Austria","Observations",NA,NA,NA,2,"Austria",235,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-08-05T18:39:05",25,NA,NA,NA,NA,NA,NA,"2020-07-25T16:13:00",NA,NA,"14:13:00Z","Delphacidae",8498,NA,NA,"Austria","2826136032","Laodelphax","Laodelphax",2056110,"WGS84",NA,NA,NA,NA,NA,NA,"oliverdrescher","https://www.inaturalist.org/observations/54315384","121910894",NA,NA,NA,"gernotkunz","54315384",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"AT",2826136032,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:44:32.335+0000","2020-10-11T14:44:32.335+0000",48.044812,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,16.449948,"2020-08-05T18:39:05.000+0000",7,NA,NA,NA,"https://www.inaturalist.org/observations/54315384",NA,"PRESENT","Hemiptera",809,NA,NA,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Oliver Drescher",NA,"https://www.inaturalist.org/observations/54315384","© Oliver Drescher some rights reserved","Oliver Drescher",NA,"Laodelphax striatellus (Fallén, 1826)",NA,"Laodelphax striatellus",4489285,"striatellus",NA,NA,"466488",4489285,"ACCEPTED","SPECIES",NA,NA,NA,"2020/07/25 4:13 PM CEST","2325 Velm, Österreich",NA,NA,NA,2020,2020-10-17
"4",NA,"Laodelphax striatellus (Fallén, 1826)",4489285,"Free usage",NA,"Öland",NA,NA,"HUMAN_OBSERVATION","running/crawling","131569918","Insecta",216,"Ottenby, schäferiängen, Öland, Sweden, EUROPE","Artportalen",NA,"EUROPE",NA,64,"Sweden",249,NA,NA,"urn:lsid:swedishlifewatch.se:DataProvider:1","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,22,NA,NA,NA,NA,NA,"266","2020-09-22T00:00:00",NA,NA,"00:00:00 - 00:00:00","Delphacidae",8498,NA,NA,"Sweden","2866265798","Laodelphax","Laodelphax",2056110,"WGS84",NA,NA,NA,"Biota;Animalia;Arthropoda;Hexapoda;Insecta;Hemiptera;Auchenorrhyncha;Fulgoromorpha;Delphacidae;Delphacinae;Delphacini",NA,NA,NA,NA,NA,NA,NA,"Unvalidated",NA,"urn:lsid:artportalen.se:Sighting:88128833",NA,"More information can be obtained from the Data Provider.","4346b227-ca68-4d54-8a77-909148492e0b","ArtDatabanken",NA,"SE",2866265798,"Animalia",1,"Swedish","2020-10-14T19:12:42.940+0000","2020-10-15T00:33:47.274+0000","2020-10-15T00:33:47.274+0000",56.217519,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,"Ottenby, schäferiängen",NA,NA,16.425497,"2020-09-22T19:41:56.000+0000",9,"Mörbylånga",NA,NA,"urn:lsid:artportalen.se:Sighting:88128833",NA,"PRESENT","Hemiptera",809,NA,NA,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","SE","b8323864-602a-4a7d-9127-bb903054e97d","Lars Rigbäck, George Gustafsson, Per Svensson",NA,NA,NA,"Lars Rigbäck",NA,"Laodelphax striatellus (Fallén, 1826)","FEMALE","Laodelphax striatellus",4489285,"striatellus","266","urn:lsid:dyntaxa.se:Taxon:234595","urn:lsid:dyntaxa.se:Taxon:234595",4489285,"ACCEPTED","SPECIES","Occurrence",NA,NA,NA,NA,NA,NA,NA,2020,2020-10-17
"5",NA,"Laodelphax striatellus (Fallén, 1826)",4489285,NA,"<U+ACBD><U+C0C1><U+BD81><U+B3C4>","<U+C608><U+CC9C><U+AD70>",NA,NA,"PRESERVED_SPECIMEN",NA,"NSMK-IN-190200841","Insecta",216,"<U+C740><U+D48D><U+BA74>, <U+ACBD><U+C0C1><U+BD81><U+B3C4>, <U+C608><U+CC9C><U+AD70>, South Korea","IN",NA,NA,NA,NA,"South Korea",1,NA,NA,NA,"fa172337-ee05-48a9-b23b-13678f52308a",NA,"2019-08-10T00:00:00",28,NA,NA,NA,NA,NA,NA,"2019-06-28T00:00:00",NA,NA,NA,"Delphacidae",8498,NA,NA,"Korea, Republic of","2825852297","Laodelphax","Laodelphax",2056110,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<U+C11C><U+C0C1><U+C7AC>","NSMK-IN-190200841",NA,NA,"9afa1395-6e93-4848-a42d-bce896f5195e","NSMK",NA,"KR",2825852297,"Animalia",1,NA,"2020-10-06T03:00:28.999+0000","2020-10-07T13:03:01.631+0000","2020-10-07T13:03:01.631+0000",36.762388,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"<U+C740><U+D48D><U+BA74>",NA,NA,128.442792,NA,6,NA,NA,NA,"NSMK-IN-190200841",NA,"PRESENT","Hemiptera",809,NA,NA,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","KR","eb07eeb0-3db9-11d9-8439-b8a03c50a862",NA,NA,NA,NA,NA,NA,"Laodelphax striatellus (Fallén, 1826)",NA,"Laodelphax striatellus",4489285,"striatellus",NA,NA,NA,4489285,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,"<U+C560><U+BA78><U+AD6C>",2019,2020-10-17
"6",NA,"Laodelphax striatellus (Fallén, 1826)",4489285,NA,"Gelderland",NA,NA,NA,"HUMAN_OBSERVATION",NA,"OBS.176141850","Insecta",216,"Wageningen - Wageningse Berg, Gelderland, Netherlands, EUROPE","Observations",NA,"EUROPE",NA,5000,"Netherlands",80,NA,"WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",NA,"8a863029-f435-446a-821e-275f4f641165",NA,NA,11,NA,NA,NA,NA,NA,NA,"2019-07-11T00:00:00",NA,NA,NA,"Delphacidae",8498,NA,NA,"Netherlands","2834365045","Laodelphax","Laodelphax",2056110,"WGS84",NA,NA,NA,"Animalia|DELPHACIDAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"176141850@OBS",1,NA,"85ccfd1a-a837-48d6-9a87-96c99f6fe012",NA,NA,"NL",2834365045,"Animalia",1,NA,"2020-08-19T12:31:07.894+0000","2020-09-05T06:44:15.476+0000","2020-09-05T06:44:15.476+0000",51.95,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"Wageningen - Wageningse Berg",NA,NA,5.65,"2019-07-25T00:00:00.000+0000",7,NA,NA,NA,"https://observation.org/observation/176141850",NA,"PRESENT","Hemiptera",809,NA,NA,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","NL","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.176141850",NA,"Stichting Natuurinformatie",NA,"Laodelphax striatellus (Fallén, 1826)",NA,"Laodelphax striatellus",4489285,"striatellus",NA,NA,NA,4489285,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,2019,2020-10-17
"7",NA,"Laodelphax striatellus (Fallén, 1826)",4489285,NA,"Wien",NA,NA,NA,"HUMAN_OBSERVATION",NA,"30101018","Insecta",216,"Wien, Austria","Observations",NA,NA,NA,66,"Austria",235,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2019-08-04T15:13:39",2,NA,NA,NA,NA,NA,NA,"2019-08-02T23:01:09",NA,NA,"21:01:09Z","Delphacidae",8498,NA,NA,"Austria","2331876337","Laodelphax","Laodelphax",2056110,"WGS84",NA,NA,NA,NA,NA,NA,"carnifex","https://www.inaturalist.org/observations/30101018","65439390",NA,NA,NA,"gernotkunz","30101018",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"AT",2331876337,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:29:03.901+0000","2020-10-11T14:29:03.901+0000",48.231364,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,16.357999,"2019-08-04T15:13:44.000+0000",8,NA,NA,NA,"https://www.inaturalist.org/observations/30101018","Totfund","PRESENT","Hemiptera",809,NA,NA,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","carnifex",NA,"https://www.inaturalist.org/observations/30101018","© carnifex some rights reserved","carnifex",NA,"Laodelphax striatellus (Fallén, 1826)",NA,"Laodelphax striatellus",4489285,"striatellus",NA,NA,"466488",4489285,"ACCEPTED","SPECIES",NA,NA,NA,"2019-08-02 11:01:09 pm CEST","Währing, Vienna, Austria",NA,NA,NA,2019,2020-10-17
"8",NA,"Laodelphax striatellus (Fallén, 1826)",4489285,NA,"Gangwon-do",NA,NA,NA,"HUMAN_OBSERVATION",NA,"32095269","Insecta",216,"Gangwon-do, South Korea","Observations",NA,NA,NA,4,"South Korea",235,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2019-09-05T23:00:52",31,NA,NA,NA,NA,NA,NA,"2019-08-31T22:48:00",NA,NA,"13:48:00Z","Delphacidae",8498,NA,NA,"Korea, Republic of","2422900914","Laodelphax","Laodelphax",2056110,"WGS84",NA,NA,NA,NA,NA,NA,"wonwoong","https://www.inaturalist.org/observations/32095269","69765900",NA,NA,NA,"WonGun Kim","32095269",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"KR",2422900914,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:19:50.739+0000","2020-10-11T14:19:50.739+0000",37.458185,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,128.146397,"2019-09-05T23:00:52.000+0000",8,NA,NA,NA,"https://www.inaturalist.org/observations/32095269",NA,"PRESENT","Hemiptera",809,NA,NA,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Wonwoong Kim",NA,"https://www.inaturalist.org/observations/32095269","© Wonwoong Kim some rights reserved","Wonwoong Kim",NA,"Laodelphax striatellus (Fallén, 1826)",NA,"Laodelphax striatellus",4489285,"striatellus",NA,NA,"466488",4489285,"ACCEPTED","SPECIES",NA,NA,NA,"2019/08/31 10:48 PM KST","<U+B300><U+D55C><U+BBFC><U+AD6D> <U+AC15><U+C6D0><U+B3C4> <U+D6A1><U+C131><U+AD70> <U+C548><U+D765><U+BA74>",NA,NA,NA,2019,2020-10-17
"9",NA,"Laodelphax striatellus (Fallén, 1826)",4489285,"Free usage",NA,"Värmland",NA,NA,"HUMAN_OBSERVATION",NA,"124151351","Insecta",216,"Niklasdamm, Värmland, Sweden, EUROPE","Artportalen",NA,"EUROPE",NA,100,"Sweden",249,NA,NA,"urn:lsid:swedishlifewatch.se:DataProvider:1","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,18,NA,NA,NA,NA,NA,"230","2019-08-18T00:00:00",NA,NA,"00:00:00 - 00:00:00","Delphacidae",8498,NA,NA,"Sweden","2427968167","Laodelphax","Laodelphax",2056110,"WGS84",NA,NA,NA,"Biota;Animalia;Arthropoda;Hexapoda;Insecta;Hemiptera;Auchenorrhyncha;Fulgoromorpha;Delphacidae;Delphacinae;Delphacini",NA,NA,NA,NA,NA,NA,NA,"Unvalidated",NA,"urn:lsid:artportalen.se:Sighting:80453883",NA,"More information can be obtained from the Data Provider.","4346b227-ca68-4d54-8a77-909148492e0b","ArtDatabanken",NA,"SE",2427968167,"Animalia",1,"Swedish","2020-10-14T19:12:42.940+0000","2020-10-15T00:34:04.828+0000","2020-10-15T00:34:04.828+0000",59.378235,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,"Niklasdamm",NA,NA,14.147091,"2019-10-15T16:48:24.000+0000",8,"Kristinehamn",NA,NA,"urn:lsid:artportalen.se:Sighting:80453883",NA,"PRESENT","Hemiptera",809,NA,NA,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","SE","b8323864-602a-4a7d-9127-bb903054e97d","Raimo Neergaard",NA,NA,NA,"Raimo Neergaard",NA,"Laodelphax striatellus (Fallén, 1826)",NA,"Laodelphax striatellus",4489285,"striatellus","230","urn:lsid:dyntaxa.se:Taxon:234595","urn:lsid:dyntaxa.se:Taxon:234595",4489285,"ACCEPTED","SPECIES","Occurrence",NA,NA,NA,NA,NA,NA,NA,2019,2020-10-17
"10",NA,"Laodelphax striatellus (Fallén, 1826)",4489285,"Free usage",NA,"Dalsland",NA,NA,"HUMAN_OBSERVATION",NA,"124139030","Insecta",216,"Hult, Dals Rostock, Dalsland, Sweden, EUROPE","Artportalen",NA,"EUROPE",NA,1000,"Sweden",249,NA,NA,"urn:lsid:swedishlifewatch.se:DataProvider:1","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,7,NA,NA,NA,NA,NA,"219","2019-08-07T00:00:00",NA,NA,"00:00:00 - 00:00:00","Delphacidae",8498,NA,NA,"Sweden","2428211139","Laodelphax","Laodelphax",2056110,"WGS84",NA,NA,NA,"Biota;Animalia;Arthropoda;Hexapoda;Insecta;Hemiptera;Auchenorrhyncha;Fulgoromorpha;Delphacidae;Delphacinae;Delphacini",NA,NA,NA,NA,NA,NA,NA,"Unvalidated",NA,"urn:lsid:artportalen.se:Sighting:80436308",NA,"More information can be obtained from the Data Provider.","4346b227-ca68-4d54-8a77-909148492e0b","ArtDatabanken",NA,"SE",2428211139,"Animalia",1,"Swedish","2020-10-14T19:12:42.940+0000","2020-10-15T00:31:31.150+0000","2020-10-15T00:31:31.150+0000",58.705124,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,"Hult, Dals Rostock",NA,NA,12.328551,"2019-10-14T13:31:59.000+0000",8,"Mellerud",NA,NA,"urn:lsid:artportalen.se:Sighting:80436308",NA,"PRESENT","Hemiptera",809,NA,NA,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","SE","b8323864-602a-4a7d-9127-bb903054e97d","Raimo Neergaard",NA,NA,NA,"Raimo Neergaard",NA,"Laodelphax striatellus (Fallén, 1826)",NA,"Laodelphax striatellus",4489285,"striatellus","219","urn:lsid:dyntaxa.se:Taxon:234595","urn:lsid:dyntaxa.se:Taxon:234595",4489285,"ACCEPTED","SPECIES","Occurrence",NA,NA,NA,NA,NA,NA,NA,2019,2020-10-17
