"lon","lat"
3.67228,43.697906
20.124187,45.799239
-8.932487,38.617295
9.41125,43.00531
12.054234,47.788105
18.07846,42.661095
8.251637,49.981335
6.879222,50.966171
9.89954,50.126411
13.416364,41.402548
35.37556,45.026475
66.9612,30.1909
2.47403,48.85123
2.65492,49.51384
13.039961,53.323498
10.498441,44.936978
-7.66297,37.61553
-8.00832,37.20432
23.495244,37.966284
7.761497,50.095478
-7.70409,40.38233
-5.505949,36.078565
4.778119,45.470853
-9.218326,39.310001
-6.441,36.987
14.208295,51.424984
-8.3916,39.91049
-97.743061,30.267153
-6.87426,41.28882
-94.815908,30.004966
2.8698,48.9753
2.39996,49.3262
8.75,42.05
3.5048,43.6759
3.5,43.68
-7.48,41.25
10.59,43.200001
9.48,42.84
35.7696,33.1164
35.77,33.119999
-83.757356,34.949227
27.42,38.630001
13.602619,51.123241
9.31,41.55
8.704,42.01896
9.17185,41.41555
1.1237,38.617
1.12,38.619999
-91.507333,30.402418
35.477988,45.122651
12.45,45.619999
36.560001,35.610001
-0.67,37.98
-7.94147,37.14966
-7.23162,41.32189
7.56262,43.9814
35.360062,45.000638
4.5577,43.82816
-8.57129,41.10048
-7.279637,41.345691
-7.4828,39.73999
-8.54623,41.28054
-7.394194,41.28073
-7.39994,41.27932
-7.20601,41.38455
-7.27892,41.34062
-8.49591,40.04613
3.56327,43.84456
1.221075,52.041323
-8.64798,40.10976
2.21055,43.28826
-7.44465,37.21629
-8.84931,39.26323
-7.85235,37.08574
1.38964,43.64043
5.89804,44.07626
-7.57544,37.45228
-7.97525,37.14996
-8.03303,37.03326
-8.00903,37.15025
-7.95236,37.1768
-8.90986,37.19041
-8.00891,37.15926
-7.45522,39.40626
-8.97751,37.0372
4.76251,43.53726
25.838,35.013
-7.17154,39.14986
-7.32772,39.39549
-8.07581,37.21388
-7.32793,39.38648
11.7595,51.6682
-8.83127,37.06413
12.92,47.98
-9,37.0372
14.85,48.22
11.93521,57.69692
16.77,47.95
2.36811,48.48119
13.04,47.8
9.74,47.41
13.83,47.87
15.43,47.07
15.39,47
2.22292,43.0786
6.27592,46.4227
4.99754,47.3392
7.50297,43.89472
1.11861,46.70412
