"phylum","class","order","family","genus","species","country","adm1","lon","lat"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Chungcheongnam-do","127.13421","36.787741"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Anhui","117.249942","31.841315"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Chungcheongnam-do","127.133781","36.787991"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Beijing","116.341935","40.021208"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Seoul","126.960114","37.521887"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Seoul","126.960065","37.521885"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Seoul","126.998994","37.551019"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Seoul","127.050353","37.524028"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Chungcheongnam-do","127.133395","36.787467"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Jiangsu","118.836316","32.072217"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Hebei","114.472383","38.023275"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Hunan","112.928381","28.173163"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Shanghai","121.148611","31.079444"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Seoul","126.993248","37.580426"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Chungcheongnam-do","127.133502","36.788343"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Gyeonggi-do","127.431283","37.223459"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Jiangsu","118.816842","32.062436"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Zhejiang","120.115573","30.253608"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Jeollabuk-do","127.028976","36.0368"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Seoul","127.026929","37.585956"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Hunan","113.123648","27.826663"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","Japan","Fukui","136.21701","35.808633"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Gyeongsangnam-do","128.000964","35.709894"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Seoul","126.985034","37.589928"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Zhejiang","119.578","30.049"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Beijing","116.429475","40.281298"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Jiangsu","118.870878","32.064673"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Chungcheongbuk-do","127.503168","36.673837"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Hebei","114.51358","38.052274"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Jiangsu","118.935661","31.997638"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Shandong","120.682542","36.360455"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Beijing","116.264905","40.031135"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Anhui","117.19673","31.807083"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Shandong","120.68261","36.360226"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Jiangsu","118.822818","32.068264"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Shandong","120.683997","36.362233"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Jiangsu","119.989568","31.812473"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Shanghai","121.373633","31.312567"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Gyeongsangbuk-do","128.44698","36.654212"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Shandong","120.681892","36.360253"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Chungcheongnam-do","127.133749","36.787862"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","Japan","Fukui","136.430292","36.141458"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Chungcheongnam-do","127.13333","36.785482"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Beijing","116.276718","39.99913"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Beijing","116.283887","40.059944"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Shanghai","121.497813","31.191502"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Beijing","116.455889","39.89208"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Beijing","117.463749","40.642346"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Seoul","126.965928","37.570283"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Seoul","127.044438","37.553925"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Seoul","127.044431","37.55394"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Seoul","126.9375","37.551111"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Seoul","126.927949","37.573508"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Gyeongsangnam-do","128.2132","35.470826"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","South Korea","Daegu","128.53686","35.885065"
"Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma delicatula","China","Shanghai","121.568466","31.239151"
