"lon","lat"
79.440002,18
77.190002,16.120001
78.419998,17.32
79.879997,16.9
78.910004,18.790001
78.4175,17.3226
78.525,19.679
78.4566,15.1165
79.8767,16.898
78.9128,18.7949
76.160004,20.76
77.5843,13.027
72.6813,32.9396
68.52,25.41
68.49,25.66
68.45,25.57
68.52,25.41
68.54,25.14
72.22,30.39
72.03,30.04
72.81,30.83
72.7,30.77
72.47,30.95
72.74,30.27
72.59,31.06
70.71,30.07
72.74,31.23
72.51,30.81
72.74,30.27
72.74,31.23
70.71,30.07
72.44,30.9
72.57,30.81
71.02,30.08
72.77,30.41
72.74,30.47
70.71,30.07
70.86,30.08
70.86,30.08
71.7,30.07
72.44,30.9
72.37,30.03
72.7,30.77
72.03,30.04
76.64,19.26
73.02,31.39
71.25,31.16
73.02,31.39
69.24,25.28
72.26,30.8
68.84,25.49
72.26,30.8
69.02,25.38
68.84,25.49
77.05,20.69
79.43,16.47
79.79,17.79
79.43,16.47
73.87,29.9
79.79,17.79
78.529999,19.68
73.870003,29.9
70.11,21.13
77.21,28.64
72.95,22.56
77.21,28.64
70.45,21.52
74.99,15.44
74.99,15.44
77.209999,28.639999
70.449997,21.52
74.989998,15.44
73.1,31.23
73.1,31.23
73.099998,31.23
73.099998,31.23
73.099998,31.23
77.21,28.64
77.43,15.73
77.21,28.64
77.43,15.73
80.43,16.299999
