,acceptedNameUsage,acceptedScientificName,acceptedTaxonKey,accessRights,adm1,adm2,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,basisOfRecord,bibliographicCitation,catalogNumber,class,classKey,cloc,collectionCode,collectionID,collectionKey,continent,coordinatePrecision,coordinateUncertaintyInMeters,country,crawlId,dataGeneralizations,datasetID,datasetKey,datasetName,dateIdentified,day,disposition,dynamicProperties,elevation,elevationAccuracy,endDayOfYear,eventDate,eventID,eventRemarks,eventTime,family,familyKey,fieldNumber,footprintSRS,footprintWKT,fullCountry,gbifID,genericName,genus,genusKey,geodeticDatum,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceRemarks,georeferenceSources,georeferenceVerificationStatus,habitat,higherClassification,higherGeography,hostingOrganizationKey,http://unknown.org/captive,http://unknown.org/datasetnameproperty,http://unknown.org/language,http://unknown.org/license,http://unknown.org/nick,http://unknown.org/recordEnteredBy,http://unknown.org/recordID,http://unknown.org/rights,http://unknown.org/rightsHolder,identificationID,identificationRemarks,identificationVerificationStatus,identifiedBy,identifier,inCluster,individualCount,informationWithheld,installationKey,institutionCode,institutionID,institutionKey,isInCluster,island,islandGroup,ISO2,iucnRedListCategory,key,kingdom,kingdomKey,language,lastCrawled,lastInterpreted,lastParsed,lat,license,lifeStage,locality,locationAccordingTo,locationID,locationRemarks,lon,materialSampleID,modified,month,municipality,nameAccordingTo,namePublishedInYear,nomenclaturalCode,occurrenceID,occurrenceRemarks,occurrenceStatus,order,orderKey,organismName,organismQuantity,organismQuantityType,originalNameUsage,otherCatalogNumbers,ownerInstitutionCode,parentEventID,phylum,phylumKey,preparations,programmeAcronym,projectId,protocol,publishingCountry,publishingOrgKey,recordedBy,recordNumber,references,rights,rightsHolder,sampleSizeUnit,sampleSizeValue,samplingEffort,samplingProtocol,scientificName,sex,species,speciesKey,specificEpithet,startDayOfYear,taxonConceptID,taxonID,taxonKey,taxonomicStatus,taxonRank,type,verbatimCoordinateSystem,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality,verbatimSRS,verbatimTaxonRank,vernacularName,waterBody,year,downloadDate
95,NA,"Spodoptera littoralis (Boisduval, 1833)",5109931,NA,Steiermark,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,90011197,Insecta,216,"Steiermark, Austria",Observations,NA,NA,NA,NA,2,Austria,309,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-03-10T06:52:12,10,NA,NA,NA,NA,NA,2020-10-10T02:04:00,NA,NA,00:04:00Z,Noctuidae,7015,NA,NA,NA,Austria,3337378860,Spodoptera,Spodoptera,1765207,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,NA,josef-schmid,NA,NA,NA,NA,241409419,sorry I was wrong (similar sounding names),NA,Andreas Manz,90011197,FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,AT,NE,3337378860,Animalia,1,NA,2022-06-03T07:39:47.021+00:00,2022-06-03T11:53:43.617+00:00,2022-06-03T11:53:43.617+00:00,46.873329,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Adult,NA,NA,NA,NA,15.85597,NA,2022-03-10T07:10:09.000+00:00,10,NA,NA,NA,NA,https://www.inaturalist.org/observations/90011197,NA,PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Sepp Schmid,NA,https://www.inaturalist.org/observations/90011197,NA,Sepp Schmid,NA,NA,NA,NA,"Spodoptera littoralis (Boisduval, 1833)",NA,Spodoptera littoralis,5109931,littoralis,NA,NA,428994,5109931,ACCEPTED,SPECIES,NA,NA,NA,2020/10/10 2:04 AM CEST,NA,"Poppendorf, Österreich",NA,NA,NA,NA,2020,6/24/2022
96,NA,"Spodoptera littoralis (Boisduval, 1833)",5109931,NA,Steiermark,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,90010385,Insecta,216,"Steiermark, Austria",Observations,NA,NA,NA,NA,2,Austria,309,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-03-10T06:54:04,10,NA,NA,NA,NA,NA,2020-10-10T01:53:00,NA,NA,23:53:00Z,Noctuidae,7015,NA,NA,NA,Austria,3337388809,Spodoptera,Spodoptera,1765207,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,NA,josef-schmid,NA,NA,NA,NA,241409614,NA,NA,Andreas Manz,90010385,FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,AT,NE,3337388809,Animalia,1,NA,2022-06-03T07:39:47.021+00:00,2022-06-03T11:37:33.959+00:00,2022-06-03T11:37:33.959+00:00,46.873328,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,15.855975,NA,2022-03-10T07:11:00.000+00:00,10,NA,NA,NA,NA,https://www.inaturalist.org/observations/90010385,NA,PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Sepp Schmid,NA,https://www.inaturalist.org/observations/90010385,NA,Sepp Schmid,NA,NA,NA,NA,"Spodoptera littoralis (Boisduval, 1833)",NA,Spodoptera littoralis,5109931,littoralis,NA,NA,428994,5109931,ACCEPTED,SPECIES,NA,NA,NA,2020/10/10 1:53 AM CEST,NA,"Poppendorf, Österreich",NA,NA,NA,NA,2020,6/24/2022
97,NA,"Spodoptera littoralis (Boisduval, 1833)",5109931,NA,Limassol,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,62042323,Insecta,216,"Limassol, Cyprus",Observations,NA,NA,NA,NA,8,Cyprus,309,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-10-21T00:21:56,5,NA,NA,NA,NA,NA,2020-10-05T17:01:00,NA,NA,14:01:00Z,Noctuidae,7015,NA,NA,NA,Cyprus,3398916516,Spodoptera,Spodoptera,1765207,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,NA,tallmonkee,NA,NA,NA,NA,215276724,NA,NA,Michal Brzezinski,62042323,FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,CY,NE,3398916516,Animalia,1,NA,2022-06-03T07:39:47.021+00:00,2022-06-03T11:53:45.438+00:00,2022-06-03T11:53:45.438+00:00,34.655003,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,32.731999,NA,2021-10-26T13:05:46.000+00:00,10,NA,NA,NA,NA,https://www.inaturalist.org/observations/62042323,possibly?,PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,tallmonkee,NA,https://www.inaturalist.org/observations/62042323,NA,tallmonkee,NA,NA,NA,NA,"Spodoptera littoralis (Boisduval, 1833)",NA,Spodoptera littoralis,5109931,littoralis,NA,NA,428994,5109931,ACCEPTED,SPECIES,NA,NA,NA,2020/10/05 5:01 PM EEST,NA,"Pissouri, Cyprus",NA,NA,NA,NA,2020,6/24/2022
308,NA,BOLD:ACE4947,9983125,NA,Alexandria,NA,NA,NA,NA,NA,MATERIAL_SAMPLE,NA,BIOUG14432-B12,Insecta,216,"Mariot, Mostafa Kamel Village, Alexandria, Egypt",NA,NA,NA,NA,NA,NA,Egypt,234,NA,NA,040c5662-da76-4782-a48e-cdea1892d14c,NA,NA,3,NA,NA,NA,NA,NA,2013-06-03T00:00:00,NA,Collected from 27-may-13 to 3-jun-13,NA,Noctuidae,7015,GMP#01779,NA,NA,Egypt,1415201991,BOLD:ACE4947,Spodoptera,1765207,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,fbca90e3-8aed-48b1-84e3-369afbd000ce,NA,NA,en,NA,NA,NA,NA,Creative Commons - Share Alike,Barcode of Life Datasystems,NA,BOLD:ACE4947,NA,Kate Perez,GMEGK002-14,FALSE,NA,NA,fb5e4c2a-579c-434b-a446-3a665dd732ad,NA,NA,NA,FALSE,NA,NA,EG,NA,1415201991,Animalia,1,NA,2022-04-22T13:01:01.603+00:00,2022-04-25T17:25:37.831+00:00,2022-04-25T17:25:37.831+00:00,30.9256,http://creativecommons.org/licenses/by/4.0/legalcode,Adult,"Mariot, Mostafa Kamel Village",NA,BIOUG:ALEXAN:1,NA,29.7755,NA,NA,6,NA,NA,NA,NA,http://bins.boldsystems.org/index.php/Public_RecordView?processid=GMEGK002-14,Centre for Biodiversity Genomics,PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,NA,NA,Arthropoda,54,inv leg,NA,NA,DWC_ARCHIVE,NA,b3bf3a83-1f68-4541-a03f-330d30d567f5,O.El-Ansary,NA,NA,NA,NA,NA,NA,NA,Malaise Trap,BOLD:ACE4947,NA,Spodoptera littoralis,5109931,NA,NA,http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACE4947,http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACE4947,9983125,ACCEPTED,UNRANKED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,6/24/2022
309,NA,BOLD:ACE4947,9983125,NA,Alexandria,NA,NA,NA,NA,NA,MATERIAL_SAMPLE,NA,BIOUG14603-A01,Insecta,216,"Smouha, Antoniades Gardens, Alexandria, Egypt",NA,NA,NA,NA,NA,NA,Egypt,234,NA,NA,040c5662-da76-4782-a48e-cdea1892d14c,NA,NA,7,NA,NA,NA,NA,NA,2013-08-07T00:00:00,NA,Collected from 31-jul-13 to 7-aug-13,NA,Noctuidae,7015,GMP#01764,NA,NA,Egypt,1415207689,BOLD:ACE4947,Spodoptera,1765207,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,fbca90e3-8aed-48b1-84e3-369afbd000ce,NA,NA,en,NA,NA,NA,NA,Creative Commons - Share Alike,Barcode of Life Datasystems,NA,BOLD:ACE4947,NA,Kate Perez,GMESF875-14,FALSE,NA,NA,fb5e4c2a-579c-434b-a446-3a665dd732ad,NA,NA,NA,FALSE,NA,NA,EG,NA,1415207689,Animalia,1,NA,2022-04-22T13:01:01.603+00:00,2022-04-25T17:23:43.295+00:00,2022-04-25T17:23:43.295+00:00,31.204,http://creativecommons.org/licenses/by/4.0/legalcode,Adult,"Smouha, Antoniades Gardens",NA,BIOUG:ALEXAN:2,NA,29.9496,NA,NA,8,NA,NA,NA,NA,http://bins.boldsystems.org/index.php/Public_RecordView?processid=GMESF875-14,Centre for Biodiversity Genomics,PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,NA,NA,Arthropoda,54,inv leg,NA,NA,DWC_ARCHIVE,NA,b3bf3a83-1f68-4541-a03f-330d30d567f5,O.El-Ansary,NA,NA,NA,NA,NA,NA,NA,Malaise Trap,BOLD:ACE4947,NA,Spodoptera littoralis,5109931,NA,NA,http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACE4947,http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACE4947,9983125,ACCEPTED,UNRANKED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,6/24/2022
310,NA,BOLD:ACE4947,9983125,NA,Alexandria,NA,NA,NA,NA,NA,MATERIAL_SAMPLE,NA,BIOUG14839-F07,Insecta,216,"Smouha, Antoniades Gardens, Alexandria, Egypt",NA,NA,NA,NA,NA,NA,Egypt,234,NA,NA,040c5662-da76-4782-a48e-cdea1892d14c,NA,NA,14,NA,NA,NA,NA,NA,2013-08-14T00:00:00,NA,Collected from 7-aug-13 to 14-aug-13,NA,Noctuidae,7015,GMP#01765,NA,NA,Egypt,1415211668,BOLD:ACE4947,Spodoptera,1765207,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,fbca90e3-8aed-48b1-84e3-369afbd000ce,NA,NA,en,NA,NA,NA,NA,Creative Commons - Share Alike,Barcode of Life Datasystems,NA,BOLD:ACE4947,NA,Kate Perez,GMESO020-14,FALSE,NA,NA,fb5e4c2a-579c-434b-a446-3a665dd732ad,NA,NA,NA,FALSE,NA,NA,EG,NA,1415211668,Animalia,1,NA,2022-04-22T13:01:01.603+00:00,2022-04-25T17:25:05.233+00:00,2022-04-25T17:25:05.233+00:00,31.204,http://creativecommons.org/licenses/by/4.0/legalcode,Adult,"Smouha, Antoniades Gardens",NA,BIOUG:ALEXAN:2,NA,29.9496,NA,NA,8,NA,NA,NA,NA,http://bins.boldsystems.org/index.php/Public_RecordView?processid=GMESO020-14,Centre for Biodiversity Genomics,PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,NA,NA,Arthropoda,54,inv leg,NA,NA,DWC_ARCHIVE,NA,b3bf3a83-1f68-4541-a03f-330d30d567f5,O.El-Ansary,NA,NA,NA,NA,NA,NA,NA,Malaise Trap,BOLD:ACE4947,NA,Spodoptera littoralis,5109931,NA,NA,http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACE4947,http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACE4947,9983125,ACCEPTED,UNRANKED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,6/24/2022
200,NA,"Spodoptera littoralis (Boisduval, 1833)",5109931,NA,Al Qahirah,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,16483482,Insecta,216,"Al Qahirah, Egypt",Observations,NA,NA,NA,NA,10,Egypt,309,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2018-10-18T12:51:02,13,NA,NA,NA,NA,NA,2018-09-13T10:18:18,NA,NA,08:18:18Z,Noctuidae,7015,NA,NA,NA,Egypt,1931478833,Spodoptera,Spodoptera,1765207,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,NA,yasminam,NA,NA,NA,NA,37756068,NA,NA,jules-pierre,16483482,FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,EG,NE,1931478833,Animalia,1,NA,2022-06-03T07:39:47.021+00:00,2022-06-03T11:25:10.863+00:00,2022-06-03T11:25:10.863+00:00,30.101011,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,31.297088,NA,2018-10-19T12:55:18.000+00:00,9,NA,NA,NA,NA,https://www.inaturalist.org/observations/16483482,"This is the same moth image that I added in a previous observation with it‘s worm and pupa stages, under the title „Cutworms and dart moths“!",PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,yasminam,NA,https://www.inaturalist.org/observations/16483482,NA,yasminam,NA,NA,NA,NA,"Spodoptera littoralis (Boisduval, 1833)",NA,Spodoptera littoralis,5109931,littoralis,NA,NA,428994,5109931,ACCEPTED,SPECIES,NA,NA,NA,Thu Sep 13 2018 10:18:18 GMT+0200 (GMT+2),NA,"Suzan Mubarak Street 1–43, Al Zaitoun, Cairo, EG",NA,NA,NA,NA,2018,6/24/2022
191,NA,"Spodoptera littoralis (Boisduval, 1833)",5109931,NA,Al Qahirah,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,14690313,Insecta,216,"Al Qahirah, Egypt",Observations,NA,NA,NA,NA,30,Egypt,309,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2018-10-18T12:52:38,24,NA,NA,NA,NA,NA,2018-07-24T17:49:49,NA,NA,15:49:49Z,Noctuidae,7015,NA,NA,NA,Egypt,1931476211,Spodoptera,Spodoptera,1765207,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,NA,yasminam,NA,NA,NA,NA,37756130,NA,NA,jules-pierre,14690313,FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,EG,NE,1931476211,Animalia,1,NA,2022-06-03T07:39:47.021+00:00,2022-06-03T10:54:29.801+00:00,2022-06-03T10:54:29.801+00:00,30.101008,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Larva,NA,NA,NA,NA,31.297132,NA,2020-08-28T23:19:59.000+00:00,7,NA,NA,NA,NA,https://www.inaturalist.org/observations/14690313,"I found this caterpillar inside a romaine lettuce when it was thin and only 1.5 cm in length, and was eager to know what it will turn out to be, so I fed it; Astonishingly, it grew fatter and up to 4-5 cm in length in only 3 days feeding copiously on lettuce leaves!",PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,yasminam,NA,https://www.inaturalist.org/observations/14690313,NA,yasminam,NA,NA,NA,NA,"Spodoptera littoralis (Boisduval, 1833)",NA,Spodoptera littoralis,5109931,littoralis,NA,NA,428994,5109931,ACCEPTED,SPECIES,NA,NA,NA,Tue Jul 24 2018 17:49:49 GMT+0200 (GMT+2),NA,"Suzan Mubarak Street 1–43, Al Zaitoun, Cairo, EG",NA,NA,NA,NA,2018,6/24/2022
199,NA,"Spodoptera littoralis (Boisduval, 1833)",5109931,NA,Al Qahirah,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,16483315,Insecta,216,"Al Qahirah, Egypt",Observations,NA,NA,NA,NA,10,Egypt,309,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2018-10-18T12:50:52,12,NA,NA,NA,NA,NA,2018-09-12T17:03:30,NA,NA,15:03:30Z,Noctuidae,7015,NA,NA,NA,Egypt,1931478765,Spodoptera,Spodoptera,1765207,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,NA,yasminam,NA,NA,NA,NA,37756064,NA,NA,jules-pierre,16483315,FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,EG,NE,1931478765,Animalia,1,NA,2022-06-03T07:39:47.021+00:00,2022-06-03T10:54:34.904+00:00,2022-06-03T10:54:34.904+00:00,30.100996,http://creativecommons.org/licenses/by-nc/4.0/legalcode,Larva,NA,NA,NA,NA,31.297154,NA,2020-08-28T23:19:19.000+00:00,9,NA,NA,NA,NA,https://www.inaturalist.org/observations/16483315,"When I found the worm, I fed it until it turned to a pupa about one week later; in another 1-2 weeks of a pupa state, the last image shows the out-coming moth!",PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,yasminam,NA,https://www.inaturalist.org/observations/16483315,NA,yasminam,NA,NA,NA,NA,"Spodoptera littoralis (Boisduval, 1833)",NA,Spodoptera littoralis,5109931,littoralis,NA,NA,428994,5109931,ACCEPTED,SPECIES,NA,NA,NA,Wed Sep 12 2018 17:03:30 GMT+0200 (GMT+2),NA,"Suzan Mubarak Street 1–43, Al Zaitoun, Cairo, EG",NA,NA,NA,NA,2018,6/24/2022
317,NA,"Spodoptera littoralis (Boisduval, 1833)",5109931,NA,NA,NA,NA,NA,https://www.ebi.ac.uk/ena/browser/api/embl/KY563810,NA,MATERIAL_SAMPLE,NA,NA,Insecta,216,Egypt,NA,NA,NA,NA,NA,NA,Egypt,40,NA,NA,d8cd16ba-bb74-4420-821e-083f2bac17c2,NA,NA,1,NA,NA,NA,NA,NA,2012-07-01T00:00:00,NA,NA,NA,Noctuidae,7015,NA,NA,NA,Egypt,3817875292,Spodoptera,Spodoptera,1765207,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,fbca90e3-8aed-48b1-84e3-369afbd000ce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KY563810,FALSE,NA,NA,fb5e4c2a-579c-434b-a446-3a665dd732ad,NA,NA,NA,FALSE,NA,NA,EG,NE,3817875292,Animalia,1,NA,2022-06-23T13:01:45.305+00:00,2022-06-23T13:34:21.866+00:00,2022-06-23T13:34:21.866+00:00,30.16,http://creativecommons.org/licenses/by/4.0/legalcode,NA,NA,NA,NA,NA,31.4,NA,NA,7,NA,NA,NA,NA,KY563810,"UNVERIFIED: Spodoptera littoralis clone AnSlitu33681 60S ribosomal protein gene, partial cds.",PRESENT,Lepidoptera,797,NA,NA,NA,NA,NA,NA,NA,Arthropoda,54,NA,NA,NA,DWC_ARCHIVE,GB,ada9d123-ddb4-467d-8891-806ea8d94230,NA,NA,https://www.ebi.ac.uk/ena/browser/view/KY563810,NA,NA,NA,NA,NA,NA,"Spodoptera littoralis (Boisduval, 1833)",NA,Spodoptera littoralis,5109931,littoralis,NA,https://www.ebi.ac.uk/ena/browser/view/Taxon:7109,ASV:29b3512f99321bc557f5498c456d9e9e,5109931,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,6/24/2022
