"","acceptedScientificName","acceptedTaxonKey","accessRights","adm1","adm2","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","collectionKey","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","crawlId","dataGeneralizations","datasetID","datasetKey","datasetName","dateIdentified","day","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNumber","footprintWKT","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferenceSources","habitat","higherClassification","higherGeography","hostingOrganizationKey","http://unknown.org/language","http://unknown.org/license","http://unknown.org/nick","http://unknown.org/recordEnteredBy","http://unknown.org/recordId","http://unknown.org/rights","http://unknown.org/rightsHolder","identificationID","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","installationKey","institutionCode","institutionID","institutionKey","isInCluster","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","lon","modified","month","municipality","nameAccordingTo","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","originalNameUsage","otherCatalogNumbers","phylum","phylumKey","preparations","programmeAcronym","projectId","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","type","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","year","downloadDate"
"1","Thaumatotibia leucotreta (Meyrick, 1913)",5879783,"http://www.natuurpunt.be/normen-voor-datagebruik","Antwerp",NA,NA,NA,NA,"HUMAN_OBSERVATION","attracted to light",NA,NA,"Insecta",216,"Antwerp, Belgium, EUROPE","waarnemingen.be",NA,NA,"EUROPE",NA,1000,"Belgium",214,NA,"https://doi.org/10.15468/k2aiak","9a0b66df-7535-4f28-9f4e-5bc11b8b096c","Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium",NA,11,NA,NA,NA,NA,"2020-08-11T00:00:00",NA,NA,NA,"Tortricidae",5343,NA,NA,"Belgium","2858046731","Thaumatotibia","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"1cd669d0-80ea-11de-a9d0-f1765f95f18b",NA,NA,NA,NA,NA,NA,NA,NA,NA,"approved on photographic evidence",NA,"Natuurpunt:Waarnemingen:198239035",1,"see metadata","9f25fd85-85dc-4dcd-a1b4-b31165442e2b","Natuurpunt",NA,NA,FALSE,"BE",2858046731,"Animalia",1,"en","2021-10-11T09:39:46.543+00:00","2021-10-11T09:49:14.135+00:00","2021-10-11T09:49:14.135+00:00",51.17817,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","Adult",NA,NA,NA,NA,4.35009,NA,8,"Antwerpen",NA,"ICZN","Natuurpunt:Waarnemingen:198239035",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","BE","4d3ceea8-5699-439d-a899-decac9cbbdac",NA,NA,"http://waarnemingen.be/waarneming/view/198239035",NA,"Natuurpunt Studie","light trap","Thaumatotibia leucotreta (Meyrick, 1913)",NA,NA,"Thaumatotibia leucotreta",5879783,"leucotreta",NA,NA,"http://waarnemingen.be/soort/view/160215",5879783,"ACCEPTED","SPECIES","Event",NA,NA,NA,"Afrikaanse fruitmot",2020,2021-10-25
"3","Thaumatotibia leucotreta (Meyrick, 1913)",5879783,NA,"HaZafon",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"65400900","Insecta",216,"HaZafon, Israel","Observations",NA,NA,NA,NA,31,"Israel",284,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-11-22T13:10:39",12,NA,NA,NA,NA,"2020-11-12T15:07:00",NA,NA,"13:07:00Z","Tortricidae",5343,NA,NA,"Israel","2988689685","Thaumatotibia","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",NA,NA,"centaur",NA,NA,NA,NA,"142979514",NA,NA,"centaur","65400900",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"IL",2988689685,"Animalia",1,NA,"2021-10-22T19:18:06.419+00:00","2021-10-22T23:26:13.680+00:00","2021-10-22T23:26:13.680+00:00",32.954891,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","Adult",NA,NA,NA,NA,35.093758,"2021-10-14T20:01:42.000+00:00",11,NA,NA,NA,"https://www.inaturalist.org/observations/65400900",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","centaur",NA,"https://www.inaturalist.org/observations/65400900",NA,"centaur",NA,"Thaumatotibia leucotreta (Meyrick, 1913)",NA,NA,"Thaumatotibia leucotreta",5879783,"leucotreta",NA,NA,"527552",5879783,"ACCEPTED","SPECIES",NA,"2020/11/12 3:07 PM IST","Shomrat, Israel",NA,NA,2020,2021-10-25
"4","Thaumatotibia leucotreta (Meyrick, 1913)",5879783,NA,"Baden-Württemberg",NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"68701717","Insecta",216,"Baden-Württemberg, Germany","Observations",NA,NA,NA,NA,5,"Germany",284,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2021-01-27T23:20:06",27,NA,NA,NA,NA,"2020-11-27T00:00:00",NA,NA,NA,"Tortricidae",5343,NA,NA,"Germany","3068086354","Thaumatotibia","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",NA,NA,"ppinat",NA,NA,NA,NA,"152379005",NA,NA,"Peter Preus","68701717",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,"DE",3068086354,"Animalia",1,NA,"2021-10-22T19:18:06.419+00:00","2021-10-22T22:18:14.877+00:00","2021-10-22T22:18:14.877+00:00",49.606146,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,NA,NA,8.648618,"2021-02-09T16:50:18.000+00:00",11,NA,NA,NA,"https://www.inaturalist.org/observations/68701717",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Peter Preus",NA,"https://www.inaturalist.org/observations/68701717",NA,"Peter Preus",NA,"Thaumatotibia leucotreta (Meyrick, 1913)",NA,NA,"Thaumatotibia leucotreta",5879783,"leucotreta",NA,NA,"527552",5879783,"ACCEPTED","SPECIES",NA,"2020/11/27","Laudenbach, Deutschland",NA,NA,2020,2021-10-25
"5","Thaumatotibia leucotreta (Meyrick, 1913)",5879783,NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,"1895111705","Insecta",216,"Hausgarten Laudenbach Haydnstraße, Germany","naturgucker",NA,NA,NA,NA,250,"Germany",213,NA,NA,"6ac3f774-d9fb-4796-b3e9-92bf6c81c084",NA,NA,27,NA,NA,NA,NA,"2020-11-27T00:00:00",NA,NA,NA,"Tortricidae",5343,NA,NA,"Germany","3389507819","Thaumatotibia","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"bb646dff-a905-4403-a49b-6d378c2cf0d9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36cae45c-1983-48be-9cf9-0672c4a60612","naturgucker",NA,NA,FALSE,"DE",3389507819,"Animalia",1,NA,"2021-10-19T05:38:40.411+00:00","2021-10-20T18:23:08.870+00:00","2021-10-20T18:23:08.870+00:00",49.606121,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"Hausgarten Laudenbach Haydnstraße",NA,NA,NA,8.648623,NA,11,NA,NA,NA,NA,NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"BIOCASE","DE","bb646dff-a905-4403-a49b-6d378c2cf0d9","-856275289",NA,NA,NA,NA,NA,"Thaumatotibia leucotreta (Meyrick, 1913)",NA,NA,"Thaumatotibia leucotreta",5879783,"leucotreta",NA,NA,NA,5879783,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,2020,2021-10-25
"6","Thaumatotibia leucotreta (Meyrick, 1913)",5879783,"Free usage",NA,"Bohuslän",NA,NA,NA,"HUMAN_OBSERVATION","running/crawling","Artportalen","132734610","Insecta",216,"Sägengatan, Bohuslän, Sweden, EUROPE","Artportalen",NA,NA,"EUROPE",NA,100,"Sweden",282,NA,"urn:lsid:swedishlifewatch.se:DataProvider:1","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,5,NA,NA,NA,"340","2020-12-05T21:00:00",NA,NA,"21:00:00 - 21:00:00","Tortricidae",5343,NA,NA,"Sweden","2994086788","Thaumatotibia","Thaumatotibia",4707954,"WGS84",NA,NA,"Biota;Animalia;Arthropoda;Hexapoda;Insecta;Lepidoptera;Tortricoidea;Tortricidae;Olethreutinae",NA,"4c415e40-1e21-11de-9e40-a0d6ecebb8bf",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unvalidated",NA,"urn:lsid:artportalen.se:Sighting:89409149",NA,"More information can be obtained from the Data Provider.","4346b227-ca68-4d54-8a77-909148492e0b","ArtDatabanken",NA,NA,FALSE,"SE",2994086788,"Animalia",1,"Swedish","2021-10-19T08:26:44.777+00:00","2021-10-19T12:29:50.981+00:00","2021-10-19T12:29:50.981+00:00",57.746301,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","Imago","Sägengatan",NA,NA,NA,11.978666,"2020-12-06T09:45:42.000+00:00",12,"Göteborg",NA,NA,"urn:lsid:artportalen.se:Sighting:89409149","Hittades vilande i köket. Kommer från citrus frukter enligt texter men har inte handlat frukt det senaste dagarna så måste kommit utifrån eller någon granne.","PRESENT","Lepidoptera",797,"Olethreutes leucotreta Meyrick, 1913",NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","SE","b8323864-602a-4a7d-9127-bb903054e97d","Sebastian Ekbom",NA,NA,NA,"Sebastian Ekbom",NA,"Thaumatotibia leucotreta (Meyrick, 1913)","urn:lsid:dyntaxa.se:TaxonName:317659",NA,"Thaumatotibia leucotreta",5879783,"leucotreta","340","urn:lsid:dyntaxa.se:Taxon:216330","urn:lsid:dyntaxa.se:Taxon:216330",5879783,"ACCEPTED","SPECIES","Occurrence",NA,NA,NA,"knätofsvecklare",2020,2021-10-25
"7","Thaumatotibia leucotreta (Meyrick, 1913)",5879783,"https://www.natagora.be/donnees_naturalistes_usage","Hainaut",NA,NA,NA,NA,"HUMAN_OBSERVATION","attracted to light",NA,NA,"Insecta",216,"Hainaut, Belgium, EUROPE",NA,NA,NA,"EUROPE",NA,10,"Belgium",119,NA,"https://doi.org/10.15468/p58ip1","629befd5-fb45-4365-95c4-d07e72479b37","Observations.be - Non-native species occurrences in Wallonia, Belgium",NA,24,NA,NA,NA,NA,"2019-07-24T00:00:00",NA,NA,NA,"Tortricidae",5343,NA,NA,"Belgium","2813012522","Thaumatotibia","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"37e82b90-1e21-11de-ab90-f72009d2669b",NA,NA,NA,NA,NA,NA,NA,NA,NA,"approved on photographic evidence",NA,"Natagora:Observations:176878283",1,"see metadata","c2f1d0d3-c5dc-4995-835d-d04e4ec46d6e","Natagora",NA,NA,FALSE,"BE",2813012522,"Animalia",1,"en","2021-10-08T01:10:53.171+00:00","2021-10-08T01:14:10.796+00:00","2021-10-08T01:14:10.796+00:00",50.73476,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","Adult",NA,NA,NA,NA,3.21427,NA,7,"Mouscron",NA,"ICZN","Natagora:Observations:176878283",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,"TrIAS","DWC_ARCHIVE","BE","147d711e-8a02-4b67-b4ce-918abd7dbb76",NA,NA,"https://observations.be/observation/176878283",NA,"Natagora","light trap","Thaumatotibia leucotreta (Meyrick, 1913)",NA,NA,"Thaumatotibia leucotreta",5879783,"leucotreta",NA,NA,"https://observations.be/species/160215",5879783,"ACCEPTED","SPECIES","Event",NA,NA,NA,NA,2019,2021-10-25
"8","Thaumatotibia leucotreta (Meyrick, 1913)",5879783,"Free usage",NA,"Halland",NA,NA,NA,"HUMAN_OBSERVATION","free-flying","Artportalen","124524280","Insecta",216,"Bua Ljungvägen 3, Halland, Sweden, EUROPE","Artportalen",NA,NA,"EUROPE",NA,25,"Sweden",282,NA,"urn:lsid:swedishlifewatch.se:DataProvider:1","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,11,NA,NA,NA,"315","2019-11-11T00:00:00",NA,NA,"00:00:00 - 00:00:00","Tortricidae",5343,NA,NA,"Sweden","2454492243","Thaumatotibia","Thaumatotibia",4707954,"WGS84",NA,NA,"Biota;Animalia;Arthropoda;Hexapoda;Insecta;Lepidoptera;Tortricoidea;Tortricidae;Olethreutinae",NA,"4c415e40-1e21-11de-9e40-a0d6ecebb8bf",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Approved based on image, sound or video recording",NA,"urn:lsid:artportalen.se:Sighting:80850435",1,"More information can be obtained from the Data Provider.","4346b227-ca68-4d54-8a77-909148492e0b","ArtDatabanken",NA,NA,FALSE,"SE",2454492243,"Animalia",1,"Swedish","2021-10-19T08:26:44.777+00:00","2021-10-19T12:29:39.782+00:00","2021-10-19T12:29:39.782+00:00",57.235928,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","Imago","Bua Ljungvägen 3",NA,NA,NA,12.119127,"2020-10-11T13:07:43.000+00:00",11,"Varberg",NA,NA,"urn:lsid:artportalen.se:Sighting:80850435","Flög runt i vardagsrummet. Fick den artbestämd på bilden av Bert på NRM. Bör ha kommit hem med apelsiner eller clementiner från affären.","PRESENT","Lepidoptera",797,"Olethreutes leucotreta Meyrick, 1913",NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","SE","b8323864-602a-4a7d-9127-bb903054e97d","Mikael Larsson",NA,NA,NA,"Mikael Larsson",NA,"Thaumatotibia leucotreta (Meyrick, 1913)","urn:lsid:dyntaxa.se:TaxonName:317659",NA,"Thaumatotibia leucotreta",5879783,"leucotreta","315","urn:lsid:dyntaxa.se:Taxon:216330","urn:lsid:dyntaxa.se:Taxon:216330",5879783,"ACCEPTED","SPECIES","Occurrence",NA,NA,NA,"knätofsvecklare",2019,2021-10-25
"9","Thaumatotibia leucotreta (Meyrick, 1913)",5879783,NA,NA,NA,NA,"https://www.ncbi.nlm.nih.gov/nuccore/MT212548",NA,"MATERIAL_SAMPLE",NA,NA,"icipe Sdn8","Insecta",216,"Sudan",NA,NA,NA,NA,NA,NA,"Sudan",223,NA,NA,"040c5662-da76-4782-a48e-cdea1892d14c",NA,NA,5,NA,NA,NA,NA,"2017-04-05T00:00:00",NA,NA,NA,"Tortricidae",5343,"MT212548",NA,"Sudan","3032834544","Thaumatotibia","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"fbca90e3-8aed-48b1-84e3-369afbd000ce","en",NA,NA,NA,NA,"Creative Commons - Share Alike","Barcode of Life Datasystems",NA,NA,NA,NA,"GBMNC58221-20",NA,NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad",NA,NA,NA,TRUE,"SD",3032834544,"Animalia",1,NA,"2021-09-28T12:26:16.913+00:00","2021-09-28T13:07:49.871+00:00","2021-09-28T13:07:49.871+00:00",16.6926,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,NA,NA,33.4202,NA,4,NA,NA,NA,"http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMNC58221-20",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",NA,NA,NA,NA,NA,NA,"Thaumatotibia leucotreta (Meyrick, 1913)",NA,NA,"Thaumatotibia leucotreta",5879783,"leucotreta",NA,NA,NA,5879783,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,2017,2021-10-25
"22","Thaumatotibia leucotreta (Meyrick, 1913)",5879783,NA,NA,NA,NA,"https://www.ebi.ac.uk/ena/browser/api/embl/MT212547",NA,"PRESERVED_SPECIMEN",NA,NA,"icipe Sdn7","Insecta",216,"Sudan",NA,NA,NA,NA,NA,NA,"Sudan",1,NA,NA,"d8cd16ba-bb74-4420-821e-083f2bac17c2",NA,NA,5,NA,NA,NA,NA,"2017-04-05T00:00:00",NA,NA,NA,"Tortricidae",5343,NA,NA,"Sudan","3349214126","Thaumatotibia","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"fbca90e3-8aed-48b1-84e3-369afbd000ce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MT212547",NA,NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad",NA,NA,NA,TRUE,"SD",3349214126,"Animalia",1,NA,"2021-09-20T14:27:13.052+00:00","2021-09-23T14:12:09.103+00:00","2021-09-23T14:12:09.103+00:00",16.690001,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,NA,NA,33.419998,NA,4,NA,NA,NA,"MT212547","Thaumatotibia leucotreta voucher icipe Sdn7 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial.","PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","GB","ada9d123-ddb4-467d-8891-806ea8d94230","Abdel Gadir Mohamed",NA,"https://www.ebi.ac.uk/ena/browser/view/MT212547",NA,NA,NA,"Thaumatotibia leucotreta (Meyrick, 1913)",NA,NA,"Thaumatotibia leucotreta",5879783,"leucotreta",NA,"https://www.ebi.ac.uk/ena/browser/view/Taxon:463830","ASV:c6db834f7e659479a064b07b446944a8",5879783,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,2017,2021-10-25
"35","Thaumatotibia leucotreta (Meyrick, 1913)",5879783,NA,NA,NA,NA,"https://www.ncbi.nlm.nih.gov/nuccore/MT212524",NA,"MATERIAL_SAMPLE",NA,NA,"icipe K9","Insecta",216,"Kenya",NA,NA,NA,NA,NA,NA,"Kenya",223,NA,NA,"040c5662-da76-4782-a48e-cdea1892d14c",NA,NA,22,NA,NA,NA,NA,"2017-05-22T00:00:00",NA,NA,NA,"Tortricidae",5343,"MT212524",NA,"Kenya","3032843611","Thaumatotibia","Thaumatotibia",4707954,"WGS84",NA,NA,NA,NA,"fbca90e3-8aed-48b1-84e3-369afbd000ce","en",NA,NA,NA,NA,"Creative Commons - Share Alike","Barcode of Life Datasystems",NA,NA,NA,NA,"GBMNC58245-20",NA,NA,"fb5e4c2a-579c-434b-a446-3a665dd732ad",NA,NA,NA,TRUE,"KE",3032843611,"Animalia",1,NA,"2021-09-28T12:26:16.913+00:00","2021-09-28T13:07:49.432+00:00","2021-09-28T13:07:49.432+00:00",-1.2616,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,NA,NA,37.4077,NA,5,NA,NA,NA,"http://bins.boldsystems.org/index.php/Public_RecordView?processid=GBMNC58245-20",NA,"PRESENT","Lepidoptera",797,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",NA,NA,NA,NA,NA,NA,"Thaumatotibia leucotreta (Meyrick, 1913)",NA,NA,"Thaumatotibia leucotreta",5879783,"leucotreta",NA,NA,NA,5879783,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,2017,2021-10-25
