"lon","lat"
4.35009,51.17817
35.093758,32.954891
8.648618,49.606146
8.648623,49.606121
3.21427,50.73476
12.119127,57.235928
33.4202,16.6926
33.419998,16.690001
37.4077,-1.2616
37.41,-1.26
37.3689,-1.3006
37.3358,-1.2864
39.8743,-3.6081
37.34,-1.29
39.869999,-3.61
32.5571,0.2716
37.599998,-1.77
32.560001,0.27
19.6639,-33.4769
19.66,-33.48
37.5341,-6.9557
37.4897,-6.9769
38.7766,-5.2908
38.7777,-5.326
38.779999,-5.33
37.529999,-6.96
37.490002,-6.98
38.790001,-5.32
38.779999,-5.29
32.9852,-2.0676
32.990002,-2.07
3.76338,51.02694
5.95,52.2
11.617,-0.16524
27.190001,-32.939999
23.0533,60.3455
23.049999,60.349998
48.283,-13.367
48.279999,-13.37
48.279,-13.381
48.279999,-13.38
38.431,-3.367
38.426,-3.41
38.396,-3.377
38.425,-3.41
38.43,-3.37
38.419998,-3.41
38.43,-3.41
38.400002,-3.38
38.333,-3.486
38.330002,-3.49
38.341,-3.478
38.464,-3.359
11.6007,-0.20232
38.34,-3.48
38.649,-3.827
38.650002,-3.83
55.31511,-21.10775
37.317,-1.017
36.364694,-0.484389
37.6333,-6.83333
34.09,-0.613
34.09,-0.61
35.341,1.398
35.34,1.4
38.018,0.315
39.9913,-3.29833
39.990002,-3.3
39.990002,-3.29
35.118,1.094
34.82,1.03
35.119999,1.09
39.394,-4.24
39.389999,-4.24
39.380001,-4.25
38.36,-3.399
38.360001,-3.4
39.353,-4.294
39.349998,-4.29
40.139999,-3.15
37.42,-0.519
37.419998,-0.52
55.31613,-21.01743
39.971,-3.32
39.970001,-3.32
40.003,-3.362
40,-3.36
40.018,-3.308
40.02,-3.31
40.018,-3.309
40,-3.299
55.40943,-21.28932
39.353,-4.125
39.349998,-4.12
-2.957068,51.35361
-1.534275,50.681727
55.60555,-20.92971
32.605135,-25.89197
55.50761,-21.10955
55.50851,-21.01923
35.5244,-22.3616
